name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
Tutankhamen,Travel the Nile to collect artifacts worthy of being gifts to the Pharaoh.,Reiner Knizia,"John Kovalic, Franz Vohwinkel","AMIGO, Out of the Box Publishing + 2 more",2.0,6.0,30.0,30.0,30.0,8.0,1.58,1300,556,Family,"Abstract Strategy, Ancient","Modular Board, Open Drafting, Set Collection","Category: Combinatorial, Country: Egypt, Historical Figures: King Tutankhamun (King Tut)",1993.0,6.1
Campanile,Build high and bet higher on the highest rising bell tower in medieval Italy.,"Hanno Kuhn, Wilfried Kuhn","Angus Gray-Burbridge, Katharina Kubisch","Blatz, DDD Verlag GmbH",2.0,5.0,30.0,30.0,30.0,10.0,1.68,371,94,Family,Card Game,"Area Majority / Influence, Betting and Bluffing, Hand Management, Tile Placement",Series: DDD Verlag Small Box Games,1996.0,6.2
Koalition,Add a Brief Description,Hartmut Witt,Andreas Steiner,"Hexagames (I), Salagames",4.0,10.0,90.0,90.0,90.0,12.0,2.29,228,64,Strategy,"Card Game, Negotiation, Political",,,1992.0,6.5
Forum Romanum,"As a Senator in ancient Rome, those who gain the most influence and popularity win.",Wolfgang Kramer,"TANSAN Inc., Franz Vohwinkel, Matthias Wittig","KOSMOS, New Games Order, LLC",2.0,6.0,45.0,45.0,45.0,10.0,2.34,498,157,Abstract,"Abstract Strategy, Ancient",Area Majority / Influence,"Ancient: Rome, Components: 7 x 7 Grids, Series: Edition Perlhuhn / Franckh-Kosmos",1988.0,6.7
Evergreen,Add a Brief Description,"Michael Kiesling, Wolfgang Kramer",Franz Vohwinkel,"Goldsieber Spiele, Rio Grande Games",2.0,6.0,20.0,30.0,25.0,12.0,1.86,361,166,Uncategorized,"Card Game, Music",Commodity Speculation,Components: Sand Timers,1999.0,5.5
Der Fliegende Holländer,Add a Brief Description,Klaus Teuber,"Yusuke Mamada, Franz Vohwinkel","Bandai, Huki, New Games Order, LLC, Parker Brothers, Parker Spiele",3.0,6.0,60.0,60.0,60.0,12.0,2.48,345,121,"Family,  Strategy","Bluffing, Nautical","Stock Holding, Trading",,1992.0,6.0
Candidate,Add a Brief Description,Richard Winter,"Jean Baer, Dave Dobyski",The Avalon Hill Game Co,2.0,6.0,90.0,90.0,90.0,10.0,1.94,186,75,"Strategy,  Thematic",Political,,,1991.0,5.6
Die Siedler von Catan: Historische Szenarien,Add a Brief Description,Klaus Teuber,"Tanja Donner, Marion Pott, Franz Vohwinkel","999 Games, danspil, KOSMOS",3.0,4.0,90.0,90.0,90.0,10.0,2.52,1100,301,Family,"Ancient, Civilization, Expansion for Base-game, Negotiation","Network and Route Building, Trading","Country: Egypt, Country: Greece, Game: Catan",1998.0,6.5
Santa Fe,Add a Brief Description,Alan R. Moon,Ralf E. Kahlert,White Wind,2.0,5.0,70.0,70.0,70.0,10.0,2.21,240,79,Strategy,Trains,"Network and Route Building, Open Drafting",Game: Santa Fe,1992.0,7.0
Arabana-Ikibiti,Connect the the islands and control the most land in the archipelago.,Günter Cornett,"Bob Herried, Sabine Mielke, Rick Soued","Bambus Spieleverlag, Funagain",2.0,2.0,20.0,20.0,20.0,8.0,1.89,78,30,Abstract,"Abstract Strategy, Card Game","Area Majority / Influence, Hand Management, Network and Route Building",Players: Two Player Only Games,1997.0,6.2
Time Agent,Rewrite galactic history with time machines and agents until you get it right!,Thomas Lehmann,"Armand Cabrera, Carolyn Wales","Prism Games, TimJim Games",2.0,6.0,180.0,360.0,270.0,12.0,3.46,279,137,Strategy,Science Fiction,Variable Player Powers,"Admin: Better Description Needed!, Theme: Time Travel",1992.0,6.6
Landlord!,Add a Brief Description,Friedemann Friese,"Wolfgang Panning, Thomas Schäfer, Franz Vohwinkel, Patrick Wilhelmi","2F-Spiele, ABACUSSPIELE, Rio Grande Games",2.0,6.0,10.0,10.0,10.0,10.0,1.51,969,358,Thematic,"Card Game, Humor","Hand Management, Set Collection, Tags, Take That, Victory Points as a Resource",,1992.0,5.9
Big Boss,Build and merge companies to make your fortune.,Wolfgang Kramer,"Wolfgang Kramer, Franz Vohwinkel",KOSMOS + 1 more,2.0,6.0,90.0,90.0,90.0,10.0,2.41,576,194,Strategy,"Economic, Industry / Manufacturing",Stock Holding,"Admin: Better Description Needed!, Components: 3-Dimensional (3D), Theme: Automotive Industry",1994.0,7.2
Highlanders,Add a Brief Description,Reinhard Herbert,,"Jumbo, Soppol",3.0,5.0,90.0,90.0,90.0,12.0,2.05,219,69,Wargames,"Medieval, Wargame","Action Points, Point to Point Movement",Country: Scotland,1993.0,6.2
Bagh Chal,"Translated as ""tigers moving"", this abstract strategy game pits tigers vs goats!",(Uncredited),Ivett Perlaky,"(Public Domain), Adrenaline Brush Ltd, Association for Craft Producers, Creative Crafthouse + 11 more",2.0,2.0,20.0,20.0,20.0,8.0,2.33,376,166,Abstract,Abstract Strategy,"Grid Movement, Variable Player Powers","Animals: Goats, Animals: Tigers, Category: Combinatorial, Components: 5 x 5 Grids, Digital Implementations: igGameCenter, Digital Implementations: Tabletopia, + 4 more",1000.0,6.1
Chase,Dice are your pawns: capture and regenerate as you carom around the wraparound board.,Tom Kruszewski,"Dave LaForce, Nathan Morse, Colleen O'Malley, Néstor Romeral Andrés","Blue Dolphin Games, Laurin Verlag, nestorgames, Tactical Studies Rules (TSR)",2.0,2.0,45.0,45.0,45.0,10.0,2.66,322,199,Abstract,"Abstract Strategy, Dice","Grid Movement, Hexagon Grid","Category: Combinatorial, Components: Dice as Playing Units, Digital Implementations: Abstract Play, Digital Implementations: Ai Ai, Digital Implementations: Super Duper Games, Players: Two Player Only Games, + 1 more",1985.0,6.8
The Mob,Add a Brief Description,"Mark Caines, Anthony Watts",Franz Vohwinkel,"AMIGO, Gibsons",3.0,6.0,60.0,60.0,60.0,12.0,1.88,218,64,Uncategorized,Mafia,,"Historical Figures: Al Capone, History: Interwar period, History: Prohibition in the USA",1993.0,6.4
