name,designer,artist,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,year,average_rating
Samurai,Reiner Knizia,Franz Vohwinkel,2,4,30,60,45,10,2.47,16000,4000,Strategy,"['Abstract Strategy', 'Medieval']","['Area Majority / Influence', 'Hand Management', 'Hexagon Grid', 'Once-Per-Game Abilities', 'Set Collection', 'Tile Placement']",1998.0,7.5
Die Macher,Karl-Heinz Schmiel,"Bernd Brunnhofer, Marcus Gschwendtner, Harald Lieske",3,5,240,240,240,14,4.31,5700,2100,Strategy,"['Economic', 'Negotiation', 'Political']","['Alliances', 'Area Majority / Influence', 'Auction/Bidding', 'Dice Rolling', 'Hand Management', 'Simultaneous Action Selection']",1986.0,7.6
Dragonmaster,"G. W. ""Jerry"" D'Arcey",Bob Pepper,3,4,30,30,30,12,1.96,588,320,Strategy,"['Card Game', 'Fantasy']",['Trick-taking'],1981.0,6.6
Tal der Könige,Christian Beierer,Thomas di Paolo,2,4,60,60,60,12,2.67,356,125,Strategy,['Ancient'],"['Action Points', 'Area Majority / Influence', 'Auction/Bidding', 'Set Collection']",1992.0,6.6
Cathedral,Robert P. Moore,S. Mattusek,2,2,20,20,20,8,1.79,3600,1300,Abstract,"['Abstract Strategy', ""Children's Game"", 'City Building', 'Territory Building']","['Enclosure', 'Pattern Building', 'Pattern Recognition', 'Square Grid', 'Tile Placement']",1978.0,6.5
Mare Mediterraneum,Jean du Poël,Jean du Poël,2,6,240,240,240,12,3.0,85,32,Uncategorized,"['Civilization', 'Nautical']",['Dice Rolling'],1989.0,6.5
Acquire,Sid Sackson,"Eric Hibbeler, Scott O'Gara, Scott Okumura, Peter Whitley",2,6,90,90,90,12,2.5,20000,6200,Strategy,"['Economic', 'Territory Building']","['Hand Management', 'Investment', 'Market', 'Square Grid', 'Stock Holding', '+ 2 more']",1963.0,7.3
Lords of Creation,Martin Wallace,Bryan King,2,5,120,120,120,12,2.4,210,93,Uncategorized,"['Civilization', 'Fantasy']",['Modular Board'],1993.0,6.1
Bohnanza,Uwe Rosenberg,"Fréderic Bertrand, Marek Bláha, Andrea Boekhoff, Klemens Franz + 13 more",2,7,45,45,45,12,1.67,45000,9500,Family,"['Card Game', 'Farming', 'Negotiation']","['Hand Management', 'Negotiation', 'Set Collection', 'Trading']",1997.0,7.0
Elfenland,Alan R. Moon,"Doris Matthäus, Alan R. Moon",2,6,60,60,60,10,2.15,8800,2300,Family,"['Fantasy', 'Travel']","['Hand Management', 'Network and Route Building', 'Open Drafting', 'Point to Point Movement']",1998.0,6.7
El Caballero,"Wolfgang Kramer, Richard Ulrich",Doris Matthäus,2,4,90,90,90,13,3.18,1400,627,Strategy,['Exploration'],"['Area Majority / Influence', 'Tile Placement']",1998.0,6.5
Ra,Reiner Knizia,"Allison Kline, Gahyun Lee, Ian O'Toole, Tiago Sousa, Franz Vohwinkel",2,5,45,60,52,12,2.34,24000,6100,Strategy,"['Ancient', 'Mythology']","['Auction: Once Around', 'Auction/Bidding', 'Closed Economy Auction', 'Constrained Bidding', 'Hidden Victory Points', '+ 2 more']",1999.0,7.6
Cosmic Encounter,"Bill Eberle, Jack Kittredge, Bill Norton, Peter Olotka","John Blanche, Chris Ferguson, Anders Jeppsson, Dean Morrissey + 2 more",2,6,90,90,90,12,2.37,4000,1700,"Strategy,  Thematic","['Bluffing', 'Negotiation', 'Science Fiction']","['Alliances', 'Hand Management', 'Negotiation', 'Variable Player Powers']",1977.0,6.9
CATAN,Klaus Teuber,"Volkan Baga, Tanja Donner, Pete Fenlon, Jason Hawkins + 9 more",3,4,60,120,90,10,2.3,123000,21000,"Family,  Strategy","['Economic', 'Negotiation']","['Chaining', 'Dice Rolling', 'Hexagon Grid', 'Income', 'Modular Board', '+ 6 more']",1995.0,7.1
MarraCash,Stefan Dorra,"Marion Pott, Oliver Vogel",3,4,60,60,60,12,2.16,1100,409,Strategy,['Economic'],['Auction/Bidding'],1996.0,6.9
Basari,Reinhard Staupe,"John Kovalic, Lüders & Baran, Stefan Theurer",3,4,25,25,25,10,1.85,1700,680,"Family,  Strategy",['Negotiation'],"['Roll / Spin and Move', 'Set Collection', 'Simultaneous Action Selection']",1998.0,6.8
Button Men,James Ernest,"Pete Abrams, Gerald Brom, Larry Elmore, Phil Foglio + 8 more",2,2,5,5,5,10,1.52,824,422,Customizable,"['Collectible Components', 'Dice', 'Fighting', 'Print & Play']","['Dice Rolling', 'Push Your Luck']",1999.0,6.4
Wacky Wacky West,Klaus Teuber,"Chris McGloughlin, Franz Vohwinkel",2,4,30,45,37,9,1.82,1900,656,Family,"['American West', 'Bluffing', 'City Building']","['Tile Placement', 'Voting']",1991.0,6.3
RoboRally,Richard Garfield,"Peter Bergting, Bob Carasca, Phil Foglio, Daniel Gelon + 4 more",2,8,45,120,82,12,2.43,24000,5700,"Strategy,  Thematic","['Maze', 'Miniatures', 'Racing', 'Science Fiction']","['Action Queue', 'Bias', 'Grid Movement', 'Lose a Turn', 'Modular Board', '+ 4 more']",1994.0,7.1
Full Metal Planète,"Gérard Delfanti, Gérard Mathieu, Pascal Trigaux",Pascal Trigaux,2,4,90,90,90,12,3.14,765,225,Strategy,"['Miniatures', 'Science Fiction']","['Action Points', 'Real-Time']",1988.0,7.5
Divine Right,"Glenn Rahman, Kenneth Rahman","Kenneth Rahman, David C. Sutherland, III, David A. Trampier",2,6,360,360,360,12,3.2,587,317,"Thematic,  Wargames","['Fantasy', 'Political', 'Wargame']","['Dice Rolling', 'Events', 'Grid Movement', 'Hexagon Grid', 'Movement Points', '+ 7 more']",1979.0,7.2
Magic Realm,Richard Hamblen,"George Goebel, Richard Hamblen, Kim Gromoll, Randall C. Reed, Chris White (I)",1,16,60,240,150,12,4.55,2100,1200,"Strategy,  Thematic","['Adventure', 'Exploration', 'Fantasy', 'Fighting']","['Action Queue', 'Dice Rolling', 'Events', 'Modular Board', 'Paper-and-Pencil', '+ 6 more']",1979.0,7.3
Twilight Imperium,Christian T. Petersen,Bill Heagy,2,6,240,240,240,12,3.44,708,311,Thematic,"['Civilization', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']","['Dice Rolling', 'Hexagon Grid', 'Modular Board', 'Tile Placement', 'Variable Player Powers', 'Voting']",1997.0,6.6
Gateway to the Stars,Mark A. Snowden,(Uncredited),1,7,52,79,65,12,3.0,33,23,Wargames,"['Civilization', 'Exploration', 'Science Fiction', 'Wargame']",['Roll / Spin and Move'],1994.0,5.5
Battlemist,Christian T. Petersen,"Bill Heagy, Christian T. Petersen",2,6,200,200,200,12,3.2,326,144,"Thematic,  Wargames","['Exploration', 'Fantasy', 'Wargame']","['Dice Rolling', 'Hexagon Grid']",1998.0,5.9
Supremacy: The Game of the Superpowers,Robert J. Simpson,(Uncredited),2,6,120,300,210,12,3.12,1400,599,Wargames,"['Economic', 'Modern Warfare', 'Political', 'Wargame']","['Commodity Speculation', 'Dice Rolling']",1984.0,5.7
Age of Renaissance,"Don Greenwood, Jared Scarborough","Stephen Langmead, Kurt Miller",3,6,120,300,210,12,3.85,2200,816,Strategy,"['Civilization', 'Economic', 'Medieval', 'Renaissance']","['Area Movement', 'Auction/Bidding', 'Simulation']",1996.0,7.1
Illuminati,Steve Jackson (I),"Lar DeSouza, Jeffrey D. George, Frank Gerwin, John Grigni + 8 more",2,6,60,180,120,12,2.66,5100,1400,"Strategy,  Thematic","['Card Game', 'Humor', 'Negotiation', 'Political', 'Science Fiction']","['Dice Rolling', 'Network and Route Building', 'Open Drafting', 'Tile Placement', 'Variable Player Powers']",1987.0,6.5
Terrain Vague,"Franck Parcabe, Roland Scaron",Jacques Tardi,2,4,120,120,120,10,3.25,70,22,Uncategorized,"['Fighting', 'Humor']","['Action Points', 'Modular Board']",1993.0,6.7
Dark World,Eàmon Bloomfield,Chris Baker,2,5,90,90,90,10,1.91,836,354,Thematic,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Dice Rolling', 'Grid Movement']",1991.0,5.4
Buffalo Chess,Alex Randolph,"Wanjin Gill, Dahee Lee, Lisa Plangger",2,2,30,30,30,8,1.62,363,116,Abstract,"['Abstract Strategy', 'American West', ""Children's Game""]",['Grid Movement'],1975.0,6.1
Arkham Horror,"Charlie Krank, Richard Launius, Sandy Petersen, Lynn Willis",Tom Sullivan,1,8,180,180,180,12,2.41,565,192,Thematic,"['Adventure', 'Horror', 'Novel-based']","['Cooperative Game', 'Role Playing', 'Variable Player Powers']",1987.0,6.6
Federation & Empire,Stephen V. Cole,"William H. Keith, Jr., David Martin (II)",2,8,300,300,300,12,4.4,419,221,Wargames,"['Science Fiction', 'Wargame']","['Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Movement Points', 'Simulation']",1986.0,6.4
Dragon Masters,Ian Livingstone,Christos Achilleos,2,4,120,120,120,12,2.09,151,67,Wargames,"['Fantasy', 'Wargame']",['Roll / Spin and Move'],1991.0,5.8
Runes,"Bill Eberle, Jack Kittredge, Peter Olotka","Linda Bound, Franz-Josef Schulte",2,4,30,30,30,10,1.9,101,42,Uncategorized,"['Deduction', 'Word Game']",['Deduction'],1981.0,6.1
Darkover,"Bill Eberle, Jack Kittredge, Peter Olotka",Hannah M. G. Shapero,2,4,60,60,60,12,2.44,111,62,"Strategy,  Thematic","['Bluffing', 'Fantasy', 'Novel-based']","['Area Majority / Influence', 'Area Movement', 'Events', 'Open Drafting', 'Paper-and-Pencil', '+ 4 more']",1979.0,5.3
Borderlands,"Bill Eberle, Jack Kittredge, Peter Olotka","Frank Frazetta, Dean Morrissey",2,4,120,120,120,12,2.78,278,174,"Thematic,  Wargames","['Bluffing', 'Civilization', 'Fantasy', 'Negotiation', 'Political']","['Area Movement', 'Random Production', 'Simulation', 'Trading']",1982.0,6.7
Can't Stop,Sid Sackson,"Klemens Franz, Heiko Günther, Gabriel Laulunen (II), Ronan Le Maître + 4 more",2,4,30,30,30,9,1.15,18000,4400,Family,"['Dice', 'Racing']","['Dice Rolling', 'Push Your Luck', 'Race']",1980.0,6.9
Dark Tower,"Roger Burten, Alan Coleman, Vincent A. A. J. Erato",Bob Pepper,1,4,90,90,90,10,1.81,1400,628,Thematic,"['Adventure', 'Electronic', 'Exploration', 'Fantasy', 'Fighting']","['Area Movement', 'Push Your Luck']",1981.0,6.9
Tigris & Euphrates,Reiner Knizia,"Bascu, Christine Conrad, Doris Matthäus, Tom Thiel + 2 more",2,4,90,90,90,12,3.5,28000,7000,Strategy,"['Abstract Strategy', 'Ancient', 'Civilization', 'Territory Building']","['Area Majority / Influence', 'Connections', 'Hand Management', 'Hidden Victory Points', 'Highest-Lowest Scoring', '+ 4 more']",1997.0,7.7
Airlines,Alan R. Moon,Christian Schütte,2,6,90,90,90,12,2.42,374,128,Strategy,"['Aviation / Flight', 'Economic']","['Investment', 'Network and Route Building', 'Stock Holding']",1990.0,6.6
David & Goliath,Reinhard Staupe,"Alexander Bradley, Oliver Freudenreich",3,6,60,60,60,8,1.62,1700,681,Family,['Card Game'],['Trick-taking'],1997.0,6.5
Medici,Reiner Knizia,"David Cherry, Vincent Dutrait, Dominique Ehrhard, Jun Suemi, Franz Vohwinkel",2,6,60,60,60,10,2.25,8100,2400,Strategy,['Renaissance'],"['Auction: Once Around', 'Auction/Bidding', 'Income', 'Push Your Luck', 'Set Collection', 'Victory Points as a Resource']",1995.0,7.2
Chinatown,Karsten Hartwig,"Mathieu Leyssenne, Franz Vohwinkel",3,5,60,60,60,12,2.25,11000,2800,Strategy,"['City Building', 'Economic', 'Negotiation']","['Enclosure', 'Income', 'Investment', 'Negotiation', 'Set Collection', '+ 3 more']",1999.0,7.4
Krieg und Frieden,Gerard Mulder,Franz Vohwinkel,2,4,90,90,90,12,2.46,738,257,Strategy,"['Medieval', 'Political']",['Auction/Bidding'],1999.0,6.1
Mamma Mia!,Uwe Rosenberg,Franz Vohwinkel,2,5,30,30,30,10,1.36,6200,1500,Family,"['Card Game', 'Memory']","['Hand Management', 'Memory']",1998.0,6.5
Lost Cities,Reiner Knizia,"Vincent Dutrait, Michaela Kienle, Anke Pohl, Thilo Rick + 2 more",2,2,30,30,30,10,1.48,45000,10000,Family,"['Card Game', 'Exploration', 'Math']","['Hand Management', 'Melding and Splaying', 'Ordering', 'Push Your Luck', 'Score-and-Reset Game', 'Set Collection']",1999.0,7.2
Ricochet Robots,Alex Randolph,Franz Vohwinkel,1,99,30,30,30,10,2.39,9000,2000,Abstract,"['Abstract Strategy', 'Maze', 'Puzzle', 'Real-time']","['Grid Movement', 'Modular Board', 'Real-Time', 'Square Grid', 'Turn Order: Stat-Based', 'Variable Set-up']",1999.0,7.0
Mighty Empires,"Rick Priestley, Nigel Stillman","Tony Ackland, Albrecht Altdorfer, Dave Andrews, Chris Baker + 7 more",2,3,300,300,300,14,2.61,525,199,Wargames,"['Fantasy', 'Territory Building', 'Wargame']",['Hexagon Grid'],1990.0,6.2
Brauerei,Valentin Herman,(Uncredited),3,6,52,79,65,14,2.5,38,11,Uncategorized,['Economic'],['Roll / Spin and Move'],1996.0,6.0
Sophie's World,"Ken Howard, Robert Hyde",Sarah Perkins,2,6,60,90,75,12,1.5,97,37,Uncategorized,"['Novel-based', 'Trivia']",['Dice Rolling'],1998.0,4.9
Schoko & Co.,"Yves Hirschfeld, Gilles Monnet",(Uncredited),2,4,180,180,180,13,2.92,427,142,Strategy,['Economic'],"['Auction/Bidding', 'Commodity Speculation']",1987.0,6.7
Tikal,"Michael Kiesling, Wolfgang Kramer","Mariusz Gandzel, Paul Mafayon, Christophe Swal, Franz Vohwinkel",2,4,90,90,90,10,2.78,20000,4500,Strategy,"['Exploration', 'Territory Building']","['Action Points', 'Area Majority / Influence', 'Auction/Bidding', 'Grid Movement', 'Hexagon Grid', '+ 6 more']",1999.0,7.3
Kings & Things,"Doug Kaufman, Robert J. Kuntz, Tom Wham","Ray-Mel Cornelius, Charles Elliot (I), Loring Eutemey, Martin Hoffmann + 7 more",2,4,60,180,120,12,2.64,1700,647,Thematic,"['Bluffing', 'Exploration', 'Fantasy', 'Humor', 'Territory Building', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Events', 'Hexagon Grid', '+ 2 more']",1986.0,6.5
Giganten,Wilko Manz,Franz Vohwinkel,3,4,90,90,90,10,2.57,1400,445,Strategy,"['Economic', 'Exploration', 'Industry / Manufacturing']","['Auction/Bidding', 'Commodity Speculation', 'Multi-Use Cards']",1999.0,6.7
Fossil,Klaus Palesch,Franz Vohwinkel,2,6,40,40,40,10,1.75,677,261,Abstract,['Ancient'],['Set Collection'],1998.0,5.4
Curse of the Mummy's Tomb,Stephen Hand,"Dave Andrews, Gary Chalk, Trish Morrison, Aly Morrison, James Warhola",1,4,120,120,120,12,1.85,352,148,Thematic,"['Adventure', 'Ancient', 'Horror']",['Action Queue'],1988.0,5.3
Vinci,Philippe Keyaerts,Cyril Saint Blancat,3,6,120,120,120,14,2.78,4000,1400,Strategy,"['Ancient', 'Civilization', 'Territory Building']","['Area Majority / Influence', 'Area Movement', 'Increase Value of Unchosen Resources', 'Network and Route Building', 'Race', '+ 5 more']",1999.0,7.1
Samurai: Game of Politics and Warfare in Feudal Japan,Dan Campagna,"Steve Burnett, Arnold Hendrick",2,8,180,180,180,12,2.63,447,210,Wargames,"['Medieval', 'Political', 'Wargame']","['Area Movement', 'Dice Rolling', 'Movement Points', 'Ratio / Combat Results Table', 'Simulation', 'Turn Order: Progressive']",1979.0,6.4
Joan of Arc,Pascal Bernard,"Thibaud Béghin, Greg Cervall, Frantz Rey",3,6,180,180,180,12,2.54,464,172,"Strategy,  Wargames","['Card Game', 'Medieval', 'Political', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Hand Management', 'Take That', 'Team-Based Game']",1998.0,6.3
The Garden Game,Amy Mook,Erica Thurston,2,6,30,30,30,8,1.33,29,16,Uncategorized,['Card Game'],"['Roll / Spin and Move', 'Set Collection']",1996.0,4.1
Conquest,Donald Benge,Donald Benge,2,4,120,120,120,10,2.48,381,196,Wargames,"['Abstract Strategy', 'Ancient', 'Wargame']","['Action Points', 'Point to Point Movement']",1974.0,6.4
Löwenherz,Klaus Teuber,Andreas Steiner,2,4,90,90,90,12,2.88,2600,834,Strategy,"['Medieval', 'Political']","['Area Majority / Influence', 'Auction/Bidding', 'Enclosure', 'Modular Board', 'Negotiation', 'Square Grid']",1997.0,7.0
Bollox,Rob Nelson (II),(Uncredited),2,2,20,20,20,10,2.4,48,28,Abstract,['Abstract Strategy'],['Pattern Building'],1999.0,6.7
Successors (First/Second Edition),"Richard H. Berg, Mark Simonitch","Kurt Miller, Patrick O'Brien, Mark Simonitch",2,4,180,180,180,12,3.22,501,194,Wargames,"['Ancient', 'Wargame']","['Campaign / Battle Card Driven', 'Dice Rolling', 'Point to Point Movement']",1997.0,7.0
Big City,Franz-Benno Delonge,Franz Vohwinkel,2,5,60,60,60,10,2.22,2400,882,"Family,  Strategy",['City Building'],"['Hand Management', 'Modular Board', 'Tile Placement']",1999.0,6.9
Civilization,Francis Tresham,"Ed Dovey, Charles Kibler, Rodger B. MacGowan, Guillaume Rohmer + 2 more",2,7,360,360,360,12,3.65,7500,2300,Strategy,"['Ancient', 'Civilization', 'Economic', 'Negotiation']","['Area Majority / Influence', 'Area Movement', 'Hand Management', 'Set Collection', 'Tech Trees / Tech Tracks', '+ 2 more']",1980.0,7.5
Verräter,Marcel-André Casasola Merkle,Marcel-André Casasola Merkle,3,4,60,60,60,12,2.57,2000,635,Strategy,"['Card Game', 'Political']","['Hand Management', 'Modular Board', 'Open Drafting', 'Team-Based Game', 'Variable Player Powers']",1998.0,6.7
Show Manager,Dirk Henn,"Jo Hartwig, Reinhard Horst, Oliver Schlemmer",2,6,60,60,60,10,2.09,1800,564,"Family,  Strategy",['Card Game'],"['Auction: Dutch', 'Open Drafting', 'Set Collection']",1996.0,7.0
Falling,James Ernest,"James Ernest, Val Mayerik, Drew Pocza, Brian Snoddy",4,8,5,5,5,8,1.22,1400,562,Party,"['Card Game', 'Fantasy', 'Print & Play', 'Real-time']",['Hand Management'],1998.0,5.5
Air Baron,Evan Davis (I),"Kurt Miller, Mark Simonitch",2,6,120,120,120,10,2.55,780,322,Strategy,"['Aviation / Flight', 'Economic', 'Territory Building']","['Area Majority / Influence', 'Chit-Pull System', 'Dice Rolling']",1996.0,6.4
"EastFront: The War in Russia, 1941-45","Craig Besinque, Tom Dalgliesh",Eric Hotz,2,2,240,240,240,12,3.6,686,339,Wargames,"['Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid', 'Secret Unit Deployment', 'Simulation']",1991.0,7.7
Apples to Apples,"Matthew Kirby, Mark Alan Osterhaus",John Kovalic,4,10,30,30,30,12,1.16,19000,5400,Party,"['Card Game', 'Humor', 'Party Game']","['Hand Management', 'Player Judge', 'Simultaneous Action Selection']",1999.0,5.8
"WestFront: The War in Europe, 1943-45",Craig Besinque,Eric Hotz,2,2,240,240,240,12,3.47,190,106,Wargames,"['Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid', 'Secret Unit Deployment']",1992.0,6.8
MedFront: War in North Africa 1940-43,Craig Besinque,(Uncredited),2,2,180,180,180,12,3.08,128,75,Wargames,"['Wargame', 'World War II']","['Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Secret Unit Deployment', 'Simulation']",1994.0,6.3
VolgaFront: East of EastFront 1942-43,Tim Taylor,Eric Hotz,2,2,240,240,240,12,3.0,69,67,Wargames,"['Expansion for Base-game', 'Wargame', 'World War II']","['Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Secret Unit Deployment']",1994.0,7.6
Sam Grant: The Civil War in the West 1862-1864,"Tom Dalgliesh, Gary Selkirk",Eric Hotz,2,2,180,180,180,12,2.85,144,79,Wargames,"['American Civil War', 'Wargame']",['Secret Unit Deployment'],1997.0,6.4
Bobby Lee: The Civil War in Virginia 1861-1865,Tom Dalgliesh,Eric Hotz,2,2,240,240,240,12,2.92,370,232,Wargames,"['American Civil War', 'Wargame']","['Dice Rolling', 'Secret Unit Deployment']",1993.0,6.7
Rommel in the Desert,Craig Besinque,"Tom Dalgliesh, Ron Gibson, Jody Harmon, Eric Hotz",2,2,150,150,150,12,3.4,1100,579,Wargames,"['Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid', 'Secret Unit Deployment', 'Simulation']",1982.0,7.5
Quebec 1759,"Steve Brewster, Tom Dalgliesh, Lance Gutteridge",(Uncredited),2,2,60,60,60,12,2.13,734,386,Wargames,"['Age of Reason', 'Wargame']","['Dice Rolling', 'Point to Point Movement', 'Secret Unit Deployment', 'Simulation']",1972.0,6.9
Torres,"Michael Kiesling, Wolfgang Kramer","Alessandra Cimatoribus, Michael Menzel, Franz Vohwinkel",2,4,60,60,60,10,2.86,9600,2600,"Abstract,  Strategy","['Abstract Strategy', 'Medieval']","['Action Points', 'Area Majority / Influence', 'Enclosure', 'Grid Movement', 'Hand Management', '+ 3 more']",1999.0,7.1
Victory: World War II,"Tom Dalgliesh, Grant Dalgliesh",Eric Hotz,2,4,120,120,120,12,2.6,424,211,Wargames,"['Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid', 'Secret Unit Deployment']",1998.0,6.4
Blue vs. Gray,Evan Jones,"Rodger B. MacGowan, Mark Simonitch, Stacey Simons",2,4,120,120,120,12,2.82,467,286,Wargames,"['American Civil War', 'Card Game', 'Dice', 'Wargame']","['Dice Rolling', 'Hand Management']",1999.0,6.7
Star Wars: Episode 1 – Clash of the Lightsabers,Craig Van Ness,(Uncredited),2,2,20,20,20,8,1.43,605,257,Family,"['Card Game', 'Movies / TV / Radio theme', 'Science Fiction']","['Card Play Conflict Resolution', 'Hand Management']",1999.0,6.2
Paths of Glory,Ted Raicer,"Charles Kibler, Terry Leeds, Rodger B. MacGowan, Mark Simonitch",2,2,480,480,480,14,3.85,5100,1800,Wargames,"['Wargame', 'World War I']","['Campaign / Battle Card Driven', 'Dice Rolling', 'Point to Point Movement']",1999.0,8.1
El Grande,"Wolfgang Kramer, Richard Ulrich","Doris Matthäus, Stefan Sonnberger, Franz-Georg Stämmele",2,5,60,120,90,12,3.03,27000,5700,Strategy,"['Medieval', 'Renaissance']","['Action Drafting', 'Area Majority / Influence', 'Area Movement', 'Auction/Bidding', 'Hand Management', '+ 6 more']",1995.0,7.7
Union Pacific,Alan R. Moon,Franz Vohwinkel,2,6,90,90,90,12,2.54,4300,1300,Strategy,"['Economic', 'Trains']","['Network and Route Building', 'Open Drafting', 'Stock Holding']",1999.0,7.2
Igel Ärgern,"Doris Matthäus, Frank Nestel",Doris Matthäus,2,6,30,30,30,8,1.38,1100,370,Family,"['Animals', ""Children's Game"", 'Dice']","['Grid Movement', 'Race', 'Roll / Spin and Move']",1990.0,6.4
Conquest of the Empire,"Larry Harris, Jr.",(Uncredited),2,6,180,240,210,10,2.53,1100,433,Wargames,"['Ancient', 'Economic', 'Wargame']","['Area Movement', 'Dice Rolling']",1984.0,6.3
Axis & Allies,"Larry Harris, Jr.",Jim Butcher (II),2,5,180,180,180,12,3.04,11000,3300,Wargames,"['Economic', 'Wargame', 'World War II']","['Area Movement', 'Dice Rolling', 'Minimap Resolution', 'Stat Check Resolution', 'Team-Based Game']",1981.0,6.6
Fortress America,Michael Gray,(Uncredited),2,4,180,180,180,12,2.64,2500,883,"Thematic,  Wargames","['Science Fiction', 'Wargame']","['Area Movement', 'Dice Rolling', 'Simulation']",1986.0,6.7
Detroit-Cleveland Grand Prix,Wolfgang Kramer,"Ramon Mascarenas, Seth Schwartz",2,6,60,60,60,8,1.71,1100,497,Family,"['Card Game', 'Racing']",['Auction/Bidding'],1996.0,6.8
Klunker,Uwe Rosenberg,Oliver Moser,3,5,30,30,30,10,1.77,921,376,"Family,  Strategy",['Card Game'],['Set Collection'],1999.0,6.2
Titan,"Jason B. McAllister, David A. Trampier","Mike Doyle (I), Kurt Miller, Kenn Nishiuye, David A. Trampier, Chris White (I)",2,6,30,240,135,12,3.46,4000,1600,"Thematic,  Wargames","['Fantasy', 'Wargame']","['Dice Rolling', 'Minimap Resolution', 'Player Elimination', 'Roll / Spin and Move', 'Secret Unit Deployment', 'Set Collection']",1980.0,7.0
Extrablatt,"Wulfdieter Hornung, Karl-Heinz Schmiel",(Uncredited),3,4,90,90,90,14,2.9,270,135,Strategy,['Territory Building'],"['Area Majority / Influence', 'Set Collection', 'Simulation', 'Tile Placement']",1991.0,7.0
Colossal Arena,Reiner Knizia,"Cyrille Daujean, Thierry Doizon, Dan Harding, Steve Holmes + 4 more",2,5,40,60,50,8,2.02,7200,2400,"Family,  Strategy","['Card Game', 'Fantasy', 'Mythology']","['Betting and Bluffing', 'Hand Management', 'Investment']",1997.0,6.8
Mystery Rummy: Jack the Ripper,Mike Fitzgerald,"Christine Conrad, Eugenia Nobati, Virginijus Poshkus",2,4,45,45,45,10,1.75,3500,1200,"Family,  Strategy","['Card Game', 'Murder/Mystery']","['Hand Management', 'Set Collection', 'Voting']",1998.0,6.9
Broadsides & Boarding Parties,"Larry Harris, Jr.",(Uncredited),2,2,60,60,60,10,1.83,594,296,Thematic,"['Nautical', 'Pirates', 'Wargame']","['Action Queue', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Point to Point Movement', 'Square Grid']",1982.0,6.2
Peaceful Resistance,Dave Thornburg,(Uncredited),2,3,30,30,30,9,1.0,18,10,Abstract,['Abstract Strategy'],"['Grid Movement', 'Hexagon Grid', 'Tile Placement']",1995.0,5.7
TAMSK,Kris Burm,lu'cifer,2,2,20,20,20,8,2.29,1400,547,Abstract,"['Abstract Strategy', 'Real-time']","['Action Timer', 'Enclosure', 'Grid Movement']",1998.0,6.8
Wettstreit der Baumeister,Jean du Poël,Claus Stephan,3,4,45,45,45,10,2.0,394,137,"Family,  Strategy",['City Building'],['Auction/Bidding'],1994.0,6.1
Auf Achse,Wolfgang Kramer,"Jochen Frick, Harald Lieske",2,6,60,60,60,8,1.96,1900,585,Family,"['Economic', 'Movies / TV / Radio theme', 'Transportation']","['Auction/Bidding', 'Pick-up and Deliver', 'Roll / Spin and Move']",1987.0,6.2
Condottiere,"Dominique Ehrhard, Duccio Vitale + 1 more","Dominique Ehrhard, John Goodenough, Serge Hochain, Tomasz Jedruszek + 4 more",2,6,20,45,32,10,1.96,10000,2700,Strategy,"['Bluffing', 'Card Game', 'Medieval', 'Negotiation']","['Area Majority / Influence', 'Auction/Bidding', 'Constrained Bidding', 'Hand Management']",1995.0,6.9
Ransom,Philip O'Neill,Lewis Michael,2,6,45,45,45,12,1.63,80,30,Uncategorized,"['Abstract Strategy', 'Bluffing', 'City Building', 'Economic', 'Negotiation']","['Auction/Bidding', 'Memory', 'Trading']",1994.0,6.3
"Plotters, Inc.",Klaus Palesch,"Hailey Ha Jung, Makiko Kodama, 別府さい (Sai Beppu)",4,6,60,60,60,10,1.86,320,112,Strategy,['Card Game'],['Trick-taking'],1999.0,6.7
I'm the Boss!,Sid Sackson,"William O'Connor, Diego Sanchez",3,6,60,60,60,12,1.97,3800,1300,"Family,  Strategy","['Economic', 'Negotiation']","['Dice Rolling', 'Hand Management', 'Negotiation', 'Roll / Spin and Move', 'Set Collection', 'Take That']",1994.0,6.8
Rheinländer,Reiner Knizia,"William O'Connor, Franz Vohwinkel",3,5,45,45,45,12,2.42,1700,664,Strategy,"['Abstract Strategy', 'Medieval', 'Territory Building']","['Area Majority / Influence', 'Enclosure', 'Hand Management']",1999.0,6.6
