name,designer,artist,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,year,average_rating
Dice Games Properly Explained,Reiner Knizia,(Uncredited),2,5,5,25,15,8,1.83,138,94,"Abstract,  Family","['Book', 'Dice']",['Dice Rolling'],1999.0,6.8
Vallée de la mort,Paul Rohrbaugh,(Uncredited),2,2,52,79,65,12,2.5,3,7,Wargames,"['Vietnam War', 'Wargame']",['Roll / Spin and Move'],2000.0,6.8
Abracadabra,Gary Wyatt,(Uncredited),2,2,15,15,15,4,2.019507655358751,2,1,Uncategorized,"['Card Game', ""Children's Game"", 'Educational', 'Racing']","['Pattern Recognition', 'Set Collection', 'Trading']",2005.7966974431818,4.5
Times Table Snap,Gary Wyatt,(Uncredited),2,2,10,10,10,9,2.019507655358751,1,0,Uncategorized,"['Card Game', 'Educational', 'Math']",['Roll / Spin and Move'],2002.0,3.0
Fraction Action,Gary Wyatt,(Uncredited),2,2,10,60,35,9,1.0,3,2,Uncategorized,"['Card Game', 'Educational', 'Math']",['Trick-taking'],2003.0,4.3
Four Function Snap,Gary Wyatt,(Uncredited),2,2,10,10,10,9,2.019507655358751,4,3,Uncategorized,"['Card Game', 'Educational', 'Math']",['Roll / Spin and Move'],1996.0,4.8
Like It or Lump It,(Uncredited),(Uncredited),3,8,45,45,45,9,2.019507655358751,7,6,Uncategorized,['Party Game'],['Roll / Spin and Move'],2003.0,7.5
Arena,Silvano Sorrentino,Jason Newell,2,2,5,5,5,8,1.0,5,4,Uncategorized,"['Action / Dexterity', 'Print & Play']",['Roll / Spin and Move'],2003.0,3.7
Landwehr 1438,Joachim Zischke,(Uncredited),2,4,45,45,45,11,2.019507655358751,5,1,Uncategorized,"['Abstract Strategy', 'Medieval']",['Tile Placement'],2004.0,5.1
Pounce,(Uncredited),(Uncredited),2,2,52,79,65,8,2.019507655358751,6,6,Abstract,['Abstract Strategy'],['Grid Movement'],1972.0,5.5
Fortune's Colony,P. D. Magnus,P. D. Magnus,2,4,15,15,15,8,2.0,10,6,Uncategorized,"['Action / Dexterity', 'Dice', 'Humor', 'Print & Play', 'Science Fiction', 'Space Exploration']",['Dice Rolling'],2003.0,5.5
"Borodino: Battle of the Moskova, 1812",Richard H. Berg,"Rodger B. MacGowan, Mark Simonitch",1,2,120,120,120,12,2.95,165,99,Wargames,"['Napoleonic', 'Wargame']","['Chit-Pull System', 'Dice Rolling', 'Hexagon Grid', 'Ratio / Combat Results Table']",2004.0,6.7
All-in-the-Dice Baseball,(Uncredited),(Uncredited),1,2,10,10,10,12,1.0,5,2,Uncategorized,['Sports'],['Dice Rolling'],1988.0,6.4
Bridgehead,(Uncredited),(Uncredited),2,2,30,30,30,10,2.019507655358751,4,2,Abstract,['Abstract Strategy'],['Pattern Building'],1980.0,4.5
ConHex,Michail Antonow,Néstor Romeral Andrés,2,2,30,30,30,10,2.8,370,148,Abstract,['Abstract Strategy'],"['Area Majority / Influence', 'Connections', 'Pattern Building', 'Tile Placement']",2002.0,6.8
Girl Power,(Uncredited),(Uncredited),2,6,30,30,30,8,2.019507655358751,1,4,Uncategorized,"['Negotiation', 'Racing']",['Roll / Spin and Move'],1998.0,5.0
The Dutch Revolt,Michael Gilbert (II),(Uncredited),2,2,52,79,65,12,1.67,10,13,Wargames,['Wargame'],['Roll / Spin and Move'],2003.0,5.1
WarCraft: The Board Game Expansion Set,Kevin Wilson,"John Goodenough, Scott Nicely, Brian Schomburg",2,4,90,90,90,10,2.88,756,265,"Thematic,  Wargames","['Expansion for Base-game', 'Fantasy', 'Fighting', 'Video Game Theme', 'Wargame']","['Dice Rolling', 'Modular Board', 'Variable Player Powers']",2004.0,6.9
Crosshand Poker,Bil van Dongen,(Uncredited),2,4,30,30,30,10,2.019507655358751,20,7,Uncategorized,"['Deduction', 'Number']",['Pick-up and Deliver'],1978.0,6.0
Reinforce the Right!,Joseph Miranda,(Uncredited),1,2,180,180,180,12,2.77,66,63,Wargames,"['Wargame', 'World War I']",['Hexagon Grid'],1996.0,6.8
Zarcana,John Cooper,(Uncredited),2,4,45,45,45,12,2.82,47,27,Abstract,"['Abstract Strategy', 'Card Game', 'Territory Building']","['Area Majority / Influence', 'Modular Board', 'Tile Placement']",1996.0,6.8
Boomtown,"Bruno Cathala, Bruno Faidutti","Kara, Maciej Szymanowicz",3,5,30,30,30,10,1.7,2700,987,Family,"['American West', 'Card Game']","['Auction/Bidding', 'Dice Rolling', 'Set Collection', 'Take That', 'Turn Order: Auction']",2004.0,6.5
Word Jam,Walter Obert,Gianpaolo Derossi,5,12,20,20,20,10,1.35,145,66,Uncategorized,['Word Game'],['Betting and Bluffing'],2004.0,5.8
Abracadabra,"Roberta Barletta, Domenico Di Giorgio",Gianpaolo Derossi,2,6,30,30,30,8,1.5,112,58,Family,"['Card Game', 'Fantasy']",['Set Collection'],2004.0,5.3
Zamitar,D. Drennan,(Uncredited),2,4,30,30,30,8,2.019507655358751,3,5,Abstract,"['Abstract Strategy', 'Science Fiction']",['Point to Point Movement'],1986.0,7.0
Mister Bill,"Tommaso Percivale, Filippo Percivale","Roberta Barletta, Toni Cittadini",3,8,20,20,20,7,1.25,89,53,Uncategorized,['Card Game'],['Trading'],2004.0,5.2
Alphabet Squiggle,(Uncredited),(Uncredited),2,4,20,20,20,4,1.0,4,2,Children's,"[""Children's Game"", 'Educational', 'Memory', 'Word Game']","['Line Drawing', 'Memory', 'Paper-and-Pencil', 'Pattern Recognition', 'Roll / Spin and Move', 'Simulation']",2003.0,3.8
