name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
Passaparola,Add a Brief Description,(Uncredited),,Hasbro,2.0,2.0,,,,,2.0,16,2,Uncategorized,Movies / TV / Radio theme,,"Admin: Better Description Needed!, Players: Two Player Only Games",2000,5.6
Visual Game,Add a Brief Description,Spartaco Albertarelli,,Editrice Giochi,4.0,6.0,1.0,1.0,1.0,,1.33,133,26,Uncategorized,Party Game,"Line Drawing, Team-Based Game",,1991,5.9
Diabolik: il Colpo Perfetto,Add a Brief Description,(Uncredited),(Uncredited),Giochi Preziosi,2.0,6.0,,,,10.0,,1,2,Uncategorized,"Adventure, Murder/Mystery","Dice Rolling, Modular Board",Components: 20 x 20 Grids,1995,5.0
Calciomania,Add a Brief Description,(Uncredited),,"Dal Negro, TuttiGiochi",2.0,2.0,,,,8.0,1.09,60,18,Uncategorized,Sports,"Deck, Bag, and Pool Building, Open Drafting, Simulation","Players: Two Player Only Games, Sports: Football / Soccer",1985,6.6
Verba Game,Add a Brief Description,"Torquato Lo Mele, Giuliano Parenti",,Dal Negro,2.0,8.0,,,,7.0,1.5,26,3,Uncategorized,"Card Game, Word Game",Open Drafting,,1999,6.3
Royalists & Roundheads II,Add a Brief Description,Robert G. Markham,"Joy Cohn, Ted Koller",3W (World Wide Wargames),1.0,2.0,120.0,120.0,120.0,12.0,2.0,57,34,Wargames,"Civil War, Pike and Shot, Wargame",Hexagon Grid,"Country: Scotland, History: English Civil War, Series: Royalists & Roundheads System (3W)",1992,5.7
Stress,Add a Brief Description,(Uncredited),,Dal Negro,2.0,6.0,,,,7.0,1.0,26,4,Uncategorized,Card Game,"Hand Management, Open Drafting",Admin: Better Description Needed!,1999,5.4
White Bear & Red Moon,Fantasy wargame depicting conflict between armies of Sartar and the Lunar Empire.,Greg Stafford,"William Church, Steve Swenston",Chaosium,1.0,3.0,90.0,90.0,90.0,,3.1,74,47,Wargames,"Fantasy, Wargame","Area Movement, Chit-Pull System, Dice Rolling, Hexagon Grid, Variable Player Powers",Setting: Glorantha,1975,7.6
Ascowt,Add a Brief Description,Domenico Di Giorgio,,"(Web published), DV Games",,,,,,8.0,1.0,8,6,Uncategorized,"Bluffing, Dice, Print & Play, Racing","Betting and Bluffing, Roll / Spin and Move",,2002,3.9
Click!,Add a Brief Description,Carlo A. Rossi,,"(Web published), DV Games",2.0,2.0,15.0,15.0,15.0,8.0,,3,4,Uncategorized,Print & Play,,Players: Two Player Only Games,2003,5.4
Breakfast at daVinci's,Add a Brief Description,Silvano Sorrentino,,"(Web published), DV Games",2.0,5.0,10.0,10.0,10.0,8.0,1.5,9,8,Uncategorized,"Card Game, Print & Play",Open Drafting,Theme: Food / Cooking,2002,4.5
Akron,Connection game featuring a cascade of dropping balls mechanism.,Cameron Browne,Néstor Romeral Andrés,"(Web published), nestorgames, Pancerola",2.0,2.0,30.0,30.0,30.0,7.0,3.14,56,32,Abstract,Abstract Strategy,"Pattern Building, Point to Point Movement","Category: Combinatorial, Components: 3-Dimensional (3D), Components: Marbles, Digital Implementations: igGameCenter, Mechanism: Connection, Players: Two Player Only Games",2002,7.2
Power of Two,Add a Brief Description,Arthur Blumberg,,Kadon Enterprises,2.0,2.0,15.0,15.0,15.0,8.0,,8,4,Abstract,Abstract Strategy,"Enclosure, Point to Point Movement","Category: Combinatorial, Players: Two Player Only Games",1998,6.2
,Add a Brief Description,Anthony Gill,,"(Web published), White Mask Productions",2.0,2.0,60.0,60.0,60.0,12.0,,3,3,Uncategorized,"Card Game, Dice, Humor, Print & Play, Racing",Dice Rolling,Players: Two Player Only Games,,6.3
Behind,"See behind the scenes, where secret societies fight for world supremacy.","Sebastian Jakob, Michael Palm","Volkan Baga, Eckhard Freytag, Joachim Krause, Cristina Ortega + 2 more",Fishtank,2.0,2.0,,,,10.0,2.67,59,23,Customizable,"Card Game, Collectible Components, Fantasy, Fighting, Horror, Religious","Area Movement, Deck Construction, Hand Management, Role Playing, Stat Check Resolution, Variable Player Powers","Admin: Better Description Needed!, Collectible: Collectible Card Games, Creatures: Ghosts, Creatures: Vampires, Creatures: Werewolves, Players: Two Player Only Games",2003,7.0
Allegiance: War of Factions,Add a Brief Description,Andrew Grierson,,Lucid Raven Productions,2.0,6.0,60.0,60.0,60.0,12.0,4.0,33,29,"Customizable,  Wargames","Card Game, City Building, Civilization, Collectible Components, Fantasy, + 6 more","Dice Rolling, Memory, Open Drafting, Role Playing, Team-Based Game, + 2 more",Collectible: Collectible Card Games,2004,7.0
