name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
A Guerra do Yom Kippur,Add a Brief Description,Mario Seabra,(Uncredited),Editora Abril,2.0,2.0,120.0,120.0,120.0,,,7,5,Wargames,Wargame,Hexagon Grid,"History: Yom Kippur War, Players: Two Player Only Games",1981,5.4
Panicozoo,Add a Brief Description,Benoit Michaud,Arnaud Quere,"Asmodee, Cocktail Games, Morapiaf, Oliphante",2.0,6.0,15.0,15.0,15.0,6.0,1.0,62,15,Uncategorized,"Action / Dexterity, Animals, Card Game, Memory","Memory, Pattern Recognition",,2005,5.2
Diên Biên Phu,Add a Brief Description,Jean-Luc Ancely,,Descartes Editeur,2.0,2.0,120.0,240.0,180.0,12.0,2.25,33,22,Wargames,"Modern Warfare, Vietnam War, Wargame","Dice Rolling, Grid Movement, Hexagon Grid, Ratio / Combat Results Table, Simulation","Country: France, Country: Vietnam, History: First Indochina War, Players: Two Player Only Games, Players: Wargames with Rules Supporting Only Two…, Theme: Siege",1980,4.9
Thurn and Taxis,Seek help from postal officials to build your delivery routes across Central Europe.,"Andreas Seyfarth, Karen Seyfarth",Michael Menzel,Hans im Glück + 9 more,2.0,4.0,60.0,60.0,60.0,10.0,2.26,20000,4300,"Family,  Strategy","Post-Napoleonic, Transportation","Hand Management, Network and Route Building, Open Drafting, Set Collection","Components: Map (Continental / National scale), Country: Germany, Digital Implementations: Board Game Arena, Digital Implementations: Yucata, Game: Thurn and Taxis, Theme: Mail / Stamps / The Post Office",2006,7.1
Masons,"Build cities, towers and houses together with an eye to scoring your guild cards.",Leo Colovini,Franz Vohwinkel,"999 Games, Hans im Glück, Rio Grande Games",2.0,4.0,45.0,45.0,45.0,8.0,2.13,2500,935,Strategy,"City Building, Medieval","Dice Rolling, Hand Management","Digital Implementations: Tabletopia, Digital Implementations: Yucata",2006,6.5
Wetten Dass ...?,Add a Brief Description,(Uncredited),,Clementoni,2.0,10.0,,,,12.0,,5,2,Uncategorized,"Movies / TV / Radio theme, Party Game","Acting, Paper-and-Pencil, Team-Based Game",,2006,3.8
Football Frenzy,Add a Brief Description,Dan Verssen,,Dan Verssen Games (DVG),2.0,2.0,30.0,30.0,30.0,7.0,,3,2,Uncategorized,"Card Game, Sports","Dice Rolling, Simulation, Simultaneous Action Selection","Players: Two Player Only Games, Sports: American Football / Gridiron",2006,6.3
,Add a Brief Description,Steve Lawrence,,West Wind Productions,2.0,4.0,60.0,60.0,60.0,12.0,,3,0,Uncategorized,"Expansion for Base-game, Fantasy, Fighting, Horror, Miniatures","Dice Rolling, Variable Player Powers",Creatures: Vampires,,7.3
Dungeon Twister: Mercenaries,Add a Brief Description,Christophe Boelinger,,Asmodee,2.0,2.0,60.0,60.0,60.0,10.0,3.29,249,104,Strategy,"Adventure, Expansion for Base-game, Exploration, Fantasy, Fighting, Maze","Action Points, Hand Management, Modular Board, Secret Unit Deployment, Tile Placement, Variable Player Powers","Digital Implementations: Board Game Arena, Game: Dungeon Twister, Players: Two Player Only Games",2006,7.8
HysteriCoach,Add a Brief Description,Walter Obert,"Robert Cepo, Paolo Vallerga","Edge Entertainment, Granna, Matagot, Scribabs",4.0,15.0,30.0,30.0,30.0,8.0,1.21,306,106,Party,"Action / Dexterity, Party Game, Sports","Acting, Simulation, Team-Based Game",Sports: Football / Soccer,2006,5.8
Biker Mice from Mars: Rock... 'N Ride! Card Game,Add a Brief Description,(Uncredited),,Canada Games Company Lmt.,2.0,4.0,,,,,,1,0,Uncategorized,Card Game,Set Collection,"Animals: Mice, TV Shows: Biker Mice from Mars",1994,3.0
Star Trek Game,Add a Brief Description,Julie Cooper,,Ideal,2.0,4.0,30.0,30.0,30.0,,1.33,12,6,Uncategorized,"Movies / TV / Radio theme, Racing, Science Fiction, Space Exploration","Hand Management, Roll / Spin and Move, Simulation","Digital Implementations: TableTop Simulator Mod…, TV Shows: Star Trek (various)",1967,4.8
LEGO: Knight's Kingdom – Das Spiel,Add a Brief Description,Wolfgang Riedesser,,"LEGO, Ravensburger",2.0,4.0,20.0,20.0,20.0,6.0,1.0,10,5,Uncategorized,"Medieval, Miniatures","Dice Rolling, Roll / Spin and Move",Toys: LEGO,2006,5.3
,"An assortment of age-old games, played with a traditional deck of cards.",(Uncredited),(Uncredited),(Public Domain),,,,,,,1.93,1100,584,"Abstract,  Family","Card Game, Game System",,"Admin: Miscellaneous Placeholder, Components: Traditional Playing Cards",,6.8
"Kleiner Eisbär, kannst du fischen?",Add a Brief Description,"Angelika Lange, Jürgen Lange",Hans de Beer,"Schmidt Spiele, Selecta Spel en Hobby",2.0,4.0,15.0,15.0,15.0,4.0,,8,4,Uncategorized,"Children's Game, Memory, Novel-based","Memory, Pattern Recognition","Animals: Bears, Animals: Fish / Fishes, Books: Der kleine Eisbär",2002,5.3
BuddhaWheel,Add a Brief Description,Emily Preece,,(Self-Published),2.0,20.0,30.0,30.0,30.0,10.0,2.5,7,6,Uncategorized,"Card Game, Dice, Humor, Religious","Dice Rolling, Open Drafting",Religious: Buddhism,2005,6.6
Hyborian Risk,Strategic conflict in the Hyborian Age -- a Risk variant inspired by the Conan books.,Lewis Pulsipher,Denis Loubet,The Space Gamer,2.0,6.0,180.0,180.0,180.0,12.0,2.0,5,7,Wargames,"Adventure, Expansion for Base-game, Fantasy, Miniatures, Wargame","Area Majority / Influence, Area Movement, Dice Rolling, Set Collection, Variable Set-up","Characters: Conan the Barbarian, Series: Risk-Like",1981,5.4
Papa Bear,Add a Brief Description,Reinhard Staupe,Oliver Freudenreich,"AMIGO, Educa Korea, Piatnik, Playroom Entertainment + 2 more",2.0,5.0,10.0,10.0,10.0,5.0,1.0,38,22,Uncategorized,"Card Game, Children's Game",,"Animals: Bears, Series: Freedom From Gadgets (Yes Papa Games)",1999,5.2
Apples to Apples: Bible Edition,Add a Brief Description,"Rob Anderson, Susan Anderson, Matthew Kirby, Mark Alan Osterhaus","John Kovalic, Cathleen Quinn-Kinney","Cactus Game Design, Out of the Box Publishing",4.0,10.0,30.0,30.0,30.0,9.0,1.33,167,67,Party,"Card Game, Party Game, Word Game",,"Game: Apples to Apples, Mechanism: Judging Games, Religious: The Bible",2006,5.5
Radio Collector: Frontier Gentleman Series Log,Add a Brief Description,B. J. George,(Uncredited),Paperville,2.0,8.0,30.0,30.0,30.0,12.0,1.0,1,0,Uncategorized,"Card Game, Movies / TV / Radio theme",,,2004,6.0
Das Gurkensolo,Add a Brief Description,Niek Neuwahl,,Peri Spiele,2.0,6.0,30.0,30.0,30.0,9.0,2.0,22,10,Uncategorized,"Bluffing, Racing",Betting and Bluffing,,1993,5.5
Mike Mulligan and His Steam Shovel Dig It! Action Game,Add a Brief Description,"Ann Stambler, Monty Stambler",Virginia Lee Burton,Gamewright,2.0,4.0,10.0,10.0,10.0,,,3,0,Uncategorized,"Action / Dexterity, Children's Game",Set Collection,Components: 3-Dimensional (3D),2000,5.7
Radio Collector: Fort Laramie Series Log,Add a Brief Description,B. J. George,(Uncredited),Paperville,2.0,8.0,30.0,30.0,30.0,12.0,1.0,1,0,Uncategorized,"Card Game, Movies / TV / Radio theme",,States: Wyoming,2004,6.0
Mini Pro Golf,Add a Brief Description,(Uncredited),,Tibi Inc.,1.0,4.0,60.0,60.0,60.0,8.0,,7,4,Uncategorized,"Action / Dexterity, Sports",,Sports: Golf,2005,6.5
Catan Card Game: Artisans & Benefactors,Add a Brief Description,Klaus Teuber,Franz Vohwinkel,KOSMOS + 3 more,2.0,2.0,90.0,90.0,90.0,10.0,2.54,352,108,Strategy,"Expansion for Base-game, + 2 more","Dice Rolling, Trading","Game: Catan, Game: Catan Card Game, Players: Two Player Only Games",2006,7.1
