name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
Agents of Mayhem: Bombshells Team,Add a Brief Description,Gunter Eickert,Jarek Nocoń,"Academy Games, Inc.",1.0,6.0,,,,,,11,6,Uncategorized,"Expansion for Base-game, Miniatures, Video Game Theme",Variable Player Powers,Crowdfunding: Kickstarter,2019,6.9
"August Storm: the Soviet-Japanese War, 1945","The Soviet assault on Manchuria, Sakhalin and the Kurils, August 1945.",Javier Romero,Tadatoshi Jimbo,"Kokusai-Tsushin Co., Ltd. (国際通信社)",2.0,2.0,,,,,3.5,8,5,Uncategorized,"Wargame, World War II","Dice Rolling, Hexagon Grid, Simulation","Continents: Asia, Country: Japan, Players: Two Player Only Games",2018,8.0
Agents of Mayhem: Civil Overwatch Patrol,Add a Brief Description,Gunter Eickert,Jarek Nocoń,"Academy Games, Inc.",1.0,6.0,,,,,,10,2,Uncategorized,"Expansion for Base-game, Miniatures, Video Game Theme",Variable Player Powers,,2018,7.0
Four Elements: Forces of Darkness,Add a Brief Description,Robert Murelli,,"(Self-Published), Physical Gaming",3.0,6.0,1.0,60.0,30.5,6.0,,4,3,Uncategorized,"Action / Dexterity, Expansion for Base-game","Area Movement, Flicking, Player Elimination",,2018,9.5
Die kleine Hexe: Das turbulente Flug- und Suchspiel,Add a Brief Description,Kai Haferkamp,Fiore GmbH,HUCH!,2.0,4.0,,,,5.0,,3,2,Uncategorized,"Action / Dexterity, Children's Game",,,2018,6.3
Agents of Mayhem: Hammersmith,Add a Brief Description,Gunter Eickert,Jarek Nocoń,"Academy Games, Inc.",1.0,6.0,,,,,,12,5,Uncategorized,"Expansion for Base-game, Miniatures, Video Game Theme",Variable Player Powers,,2019,7.0
Monopoly: Dragon Ball Z,Add a Brief Description,,Akira Toriyama,"Hasbro, The Op, Winning Moves International Ltd",2.0,6.0,60.0,120.0,90.0,8.0,1.0,32,5,Uncategorized,"Economic, Negotiation","Auction/Bidding, Player Elimination, Roll / Spin and Move, Set Collection, Trading","Characters: Dragon Ball, Game: Monopoly (Official)",2017,5.8
Tramways: Home of Industry,Add a Brief Description,Alban Viard,Sampo Sikiö,AVStudioGames,1.0,5.0,30.0,150.0,90.0,14.0,3.0,14,16,Uncategorized,Trains,"Pick-up and Deliver, Tile Placement",Game: Tramways,2018,7.4
Professor 3Stein,Add a Brief Description,,,Mücke Spiele,2.0,4.0,15.0,60.0,37.5,5.0,,2,1,Uncategorized,Math,Action Queue,,2018,6.0
Four Elements: Gods of Light,Add a Brief Description,Robert Murelli,,"(Self-Published), Physical Gaming",5.0,5.0,,,,,,3,2,Uncategorized,"Action / Dexterity, Expansion for Base-game","Action Queue, Area Movement, Flicking",,2017,9.3
Tramways: Exclusive Residences,Add a Brief Description,Alban Viard,Sampo Sikiö,AVStudioGames,1.0,5.0,30.0,150.0,90.0,14.0,3.0,15,16,Uncategorized,Trains,"Pick-up and Deliver, Tile Placement",Game: Tramways,2018,7.5
Keine lahme Agame,Add a Brief Description,Günter Peter,Christian Opperer,Mücke Spiele,2.0,5.0,15.0,60.0,37.5,8.0,,13,3,Uncategorized,"American West, Animals, Card Game","Deck, Bag, and Pool Building, Set Collection",,2018,6.3
Sorting Shapes Cupcakes,Add a Brief Description,,,Learning Resources,2.0,4.0,,,,3.0,,1,1,Uncategorized,Children's Game,,,2011,4.0
TKG ARENA: Dawn of the Edifices,Add a Brief Description,Chub Tan,Chub Tan,The TKG Comic Circle,2.0,4.0,30.0,120.0,75.0,14.0,,1,0,Uncategorized,"Card Game, Comic Book / Strip, Expansion for Base-game, Fantasy, Fighting","Action Points, Deck, Bag, and Pool Building, Hand Management, Set Collection, Tile Placement","Admin: Better Description Needed!, Game: TKG ARENA",2018,8.0
Museum Rush: Egyptian Exhibit,Add a Brief Description,Rhys ap Gwyn,Rhys ap Gwyn,Room 17 Games,1.0,4.0,20.0,60.0,40.0,10.0,,7,5,Uncategorized,"Expansion for Base-game, Humor","Push Your Luck, Take That, Tile Placement","Crowdfunding: Kickstarter, Theme: Burglary and Heists",2018,5.4
Agents of Mayhem: Get Gaunt,Add a Brief Description,Gunter Eickert,Jarek Nocoń,"Academy Games, Inc.",1.0,4.0,,,,,,12,6,Uncategorized,"Expansion for Base-game, Miniatures, Video Game Theme",Variable Player Powers,,2019,7.0
,Add a Brief Description,,,Make Believe Games,2.0,4.0,,,,3.0,1.0,1,0,Uncategorized,Children's Game,,,,2.0
Wasteland Express Delivery Service: The Scrappening,Add a Brief Description,,,Pandasaurus Games,2.0,5.0,90.0,120.0,105.0,13.0,,7,4,Uncategorized,Expansion for Base-game,"Action Points, Dice Rolling, Modular Board, Pick-up and Deliver, Variable Player Powers",Game: Wasteland Express Delivery Service,2018,8.1
Yogi Guru,"Get twisted up (literally!), injecting your own creativity!",Bez Shahriari,Simon Caruso,"Albi, Gém Klub Kft., Ghenos Games, Gigamic",3.0,10.0,10.0,20.0,15.0,8.0,1.0,84,20,Uncategorized,"Action / Dexterity, Card Game, Party Game","Player Elimination, Team-Based Game",Game: Yogi,2019,6.4
Globe Twister,Add a Brief Description,Richard Champion,Eric Cousin,Act in games + 4 more,1.0,5.0,15.0,30.0,22.5,8.0,1.67,102,24,Uncategorized,"Exploration, Puzzle, Travel","Action Queue, Pattern Building",,2018,6.3
¡Adiós Calavera!: Character Expansion 2 ¡No Tardes!,Add a Brief Description,Martin Schlegel,Christian Opperer,Mücke Spiele,2.0,2.0,30.0,60.0,45.0,8.0,,6,2,Uncategorized,"Abstract Strategy, Expansion for Base-game","Action Queue, Point to Point Movement",Players: Two Player Only Games,2018,7.3
,Add a Brief Description,,,ΕΠΑ (EPA),2.0,11.0,10.0,20.0,15.0,6.0,,1,0,Uncategorized,Novel-based,Roll / Spin and Move,Authors: Charles Perrault,,6.5
The Golden Girls: Any Way you Slice it,Celebrate The Golden Girls by answering trivia and getting Cheesecake!,,,Cardinal,2.0,4.0,30.0,45.0,37.5,12.0,1.0,44,23,Uncategorized,"Movies / TV / Radio theme, Trivia","Dice Rolling, Simultaneous Action Selection, Take That",TV Shows: The Golden Girls,2018,5.1
Die kleine Hexe: Das verdrehte Memospiel,Add a Brief Description,Kai Haferkamp,Fiore GmbH,HUCH!,2.0,4.0,,,,5.0,,5,4,Uncategorized,Children's Game,Memory,,2018,6.3
Guinness World Records: Challenges,Add a Brief Description,,,"Alga, HUCH!",2.0,5.0,,,,8.0,1.0,13,4,Uncategorized,"Action / Dexterity, Trivia",,,2018,4.2
¡Adiós Calavera!: Character Expansion 3 ¡Muchas Gracias!,Add a Brief Description,Martin Schlegel,Christian Opperer,Mücke Spiele,2.0,2.0,30.0,60.0,45.0,8.0,,7,3,Uncategorized,"Abstract Strategy, Expansion for Base-game","Action Queue, Point to Point Movement",Players: Two Player Only Games,2018,7.4
Excavatumbas,Add a Brief Description,Juan Diego León,,Black Lion Games,2.0,6.0,15.0,40.0,27.5,10.0,,1,0,Uncategorized,Card Game,Set Collection,,2018,9.0
,Add a Brief Description,,,(Public Domain),2.0,4.0,,,,,,2,1,Uncategorized,Card Game,Trick-taking,,,5.5
Arkham Noir: Case #2 – Called Forth By Thunder,A solitaire card game where you investigate events based on H.P. Lovecraft stories.,Yves Tourigny,"David Prieto, Yves Tourigny",Ludonova + 4 more,1.0,1.0,30.0,30.0,30.0,14.0,2.47,547,114,Uncategorized,"Adventure, Card Game, Fantasy, Horror, Novel-based","Hand Management, Open Drafting, Set Collection","Game: Arkham Noir (Yves Tourigny), Misc: LongPack Games, Organizations: Forgenext, Players: Solitaire Only Card Games, Players: Solitaire Only Games, Theme: Cthulhu Mythos",2018,7.1
,Add a Brief Description,,,Galt Toys,2.0,5.0,,,,6.0,,1,1,Uncategorized,Abstract Strategy,"Dice Rolling, Grid Movement",,,6.0
