name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
,Add a Brief Description,,,"Neloco Electronics Co., Ltd.",1.0,1.0,,,,4.0,,4,3,Uncategorized,Action / Dexterity,,"Cities: Pisa (Italy), Region: Tuscany (Italy)",,4.8
Shashki Poddavki,Add a Brief Description,,,(Public Domain),2.0,2.0,20.0,20.0,20.0,8.0,2.0,9,3,Abstract,Abstract Strategy,Point to Point Movement,"Category: Combinatorial, Components: 8 x 8 Grids, Digital Implementations: igGameCenter, Players: Two Player Only Games, Traditional Games: Checkers / Draughts",1700,6.7
Newtonia: Civil War on the Missouri Border,Add a Brief Description,Lawrence Duffield,,LPD Games,2.0,2.0,90.0,90.0,90.0,,2.0,1,5,Wargames,"American Civil War, Print & Play, Wargame","Dice Rolling, Hexagon Grid","Players: Two Player Only Games, Series: Battles of the American Civil War (LPD…, States: Missouri",2007,7.0
,The game of Monopoly with a Harley-Davidson motorcycles theme.,,,Franklin Mint,2.0,8.0,,,,8.0,,3,0,Uncategorized,"Economic, Negotiation","Auction/Bidding, Player Elimination, Roll / Spin and Move, Set Collection, Trading","Brands: Harley-Davidson, Brands: Vehicles (Cars, Trucks, etc.), Game: Monopoly (Official), Series: Monopoly-Like, Theme: Motorcycles, Versions & Editions: Versions with IP after the…",,7.3
,Add a Brief Description,,,Chad Valley Co Ltd.,2.0,7.0,,,,,,1,0,Uncategorized,"Animals, Farming, Movies / TV / Radio theme","Auction/Bidding, Chit-Pull System, Roll / Spin and Move",,,5.0
Glide: Tabletop Shuffleboard,Add a Brief Description,(Uncredited),(Uncredited),Zabazoo Corporation,2.0,4.0,10.0,10.0,10.0,6.0,1.0,10,4,Uncategorized,Action / Dexterity,,,2011,5.0
,Add a Brief Description,,,Tri-ang,2.0,2.0,,,,8.0,,1,0,Uncategorized,Sports,"Hexagon Grid, Pick-up and Deliver","Players: Two Player Only Games, Sports: Football / Soccer",,3.0
,Add a Brief Description,,,"(Public Domain), (Web published)",2.0,2.0,30.0,30.0,30.0,,3.5,5,3,Abstract,Abstract Strategy,,"Components: 8 x 8 Grids, Players: Two Player Only Games, Traditional Games: Checkers / Draughts",,7.0
Richie Rich Big Money Game,Add a Brief Description,,,Pressman Toy Corp.,2.0,4.0,20.0,20.0,20.0,6.0,,1,1,Uncategorized,"Children's Game, Comic Book / Strip",Roll / Spin and Move,Comic Books: Harvey Comics,1977,6.0
Schlaue Köpfchen,Add a Brief Description,"Ali Gordon, Kerry Jones","Kristine Nuyens, Brenda van der Leest","UGames, University Games",2.0,5.0,20.0,20.0,20.0,2.0,1.0,17,12,Uncategorized,"Action / Dexterity, Children's Game, Educational, Trivia",Roll / Spin and Move,,2008,6.1
Math-A-Kazam!,Add a Brief Description,Peggy Brown,,MindWare,2.0,4.0,15.0,15.0,15.0,6.0,,1,1,Uncategorized,"Action / Dexterity, Children's Game, Math",Pattern Building,,2011,5.0
Color Stix,Add a Brief Description,Susan McKinley Ross,,MindWare,2.0,6.0,10.0,10.0,10.0,5.0,1.2,43,13,Uncategorized,"Children's Game, Real-time",Pattern Building,,2011,6.4
ATS: Ponyri – Metalgods,Add a Brief Description,Ray Tapio,,"Critical Hit, Inc.",2.0,2.0,180.0,180.0,180.0,,4.0,14,10,Uncategorized,"Expansion for Base-game, Wargame, World War II",Hexagon Grid,"Cities: Kursk (Russia), Players: Two Player Only Games, Series: Advanced Tobruk System (Critical Hit)",2011,7.9
New World Colony,Add a Brief Description,Todd Sanders,Todd Sanders,"(Self-Published), (Web published)",1.0,1.0,10.0,10.0,10.0,8.0,1.5,43,42,Uncategorized,"Card Game, City Building, Economic, Print & Play, Renaissance",Hand Management,"Misc: No Table Needed, Players: Games with Solitaire Rules, Players: Solitaire Only Card Games, Players: Solitaire Only Games, Theme: Colonial",2011,6.4
Pantheon,A game of building routes and temples and using the power of the gods.,Bernd Brunnhofer,Franz Vohwinkel,"999 Games, Bard Centrum Gier, Filosofia Éditions, Hans im Glück + 2 more",2.0,4.0,60.0,90.0,75.0,10.0,2.76,1700,439,"Family,  Strategy","Ancient, Mythology","Hand Management, Network and Route Building, Open Drafting, Set Collection, Variable Phase Order, Variable Player Powers",,2011,6.7
Dice Town: Wild West,Expand Dice Town by doubling the actions you can take in your Wild West Town.,"Bruno Cathala, Ludovic Maublanc",Pierô,Matagot + 3 more,2.0,6.0,60.0,60.0,60.0,8.0,1.97,1000,333,Uncategorized,"American West, Dice, Expansion for Base-game","Catch the Leader, Dice Rolling, Re-rolling and Locking, Set Collection, Simultaneous Action Selection","Components: Dice with Icons, History: American Old West (Wild West)",2011,7.3
Hoot Owl Hoot!,Help all the owls reach the nest before the sunrise in this co-operative game.,Susan McKinley Ross,Betsy Snyder,Peaceable Kingdom + 4 more,2.0,4.0,15.0,15.0,15.0,4.0,1.06,742,280,Children's,"Animals, Children's Game","Cooperative Game, Pattern Recognition, Track Movement","Animals: Birds, Animals: Owls",2010,6.4
Stone Soup,Reveal matches to add ingredients to the soup and complete the classic tale.,Jim Deacove,Laura Huliska-Beith,Peaceable Kingdom,2.0,6.0,15.0,15.0,15.0,5.0,1.0,91,72,Uncategorized,"Children's Game, Memory","Cooperative Game, Memory, Once-Per-Game Abilities",,2011,5.8
Lost Puppies,Add a Brief Description,Jim Deacove,"Tanya Deacove, Steve Haskamp",Peaceable Kingdom,2.0,6.0,20.0,20.0,20.0,5.0,1.0,27,19,Uncategorized,"Animals, Card Game, Children's Game",Cooperative Game,Animals: Dogs,2011,6.2
Count Your Chickens!,Use a spinner to add baby chicks to the chicken coop before the fox sets you back.,Peggy Brown,David Walker (II),"GoKids 玩樂小子, Peaceable Kingdom",2.0,4.0,15.0,15.0,15.0,3.0,1.0,200,87,Uncategorized,Children's Game,"Cooperative Game, Set Collection",Animals: Chickens,2010,4.9
