name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
Compound,Create your own organic compound before it evaporates.,,,MuGames,2.0,6.0,15.0,15.0,15.0,7.0,1.0,2,0,Uncategorized,"Card Game, Educational",Connections,"Crowdfunding: Kickstarter, Theme: Science",2021,6.0
Nobody is Perfect: Extra Edition,Create descriptions for words that ideally seem legitimate to other players.,Bertram Kaes,,Ravensburger,3.0,6.0,45.0,45.0,45.0,14.0,1.0,21,2,Uncategorized,"Bluffing, Humor, Party Game, Trivia, Word Game","Simultaneous Action Selection, Voting","Game: Nobody Is Perfect, Traditional Games: Dictionary",2020,7.1
Krasserfall,"A boat race where you want to finish last, because the finish line is a waterfall.",Bernhard Weber,"Markus Erdt, Nora Nowatzyk",Ravensburger,2.0,4.0,20.0,25.0,22.5,6.0,,13,7,Uncategorized,"Children's Game, Racing",Dice Rolling,Components: 3-Dimensional (3D),2020,4.9
Krazy Pix,Use tiny graphic elements to build images that others must guess.,Sophia Wagner + 3 more,,Ravensburger,3.0,8.0,30.0,45.0,37.5,10.0,1.5,222,32,Uncategorized,Party Game,,,2020,7.2
The Zorro Dice Game: Stunts and Allies,Add allies and mid-turn tactics to your Zorro adventure!,"Brian Henk, Clayton Skancke",Loïc Billiau,Pull the Pin Games,2.0,6.0,15.0,30.0,22.5,13.0,,7,3,Uncategorized,Expansion for Base-game,"Dice Rolling, Variable Player Powers","Admin: Upcoming Releases, Characters: Zorro, Crowdfunding: Kickstarter, Digital Implementations: Tabletopia",2022,7.6
The Reckoners: Steelslayer,Operatives work together to assassinate supervillains in a post-apocalyptic world.,"Brett Sobol, Seth Van Orden",Miguel Coimbra,Nauvoo Games,1.0,6.0,60.0,100.0,80.0,14.0,3.0,141,70,Uncategorized,"Expansion for Base-game, + 3 more","Cooperative Game, Dice Rolling, Open Drafting, Push Your Luck, Simultaneous Action Selection, + 2 more","Admin: Upcoming Releases, Components: Game Trayz Inside, Components: Miniatures, Crowdfunding: Kickstarter, Players: Games with Solitaire Rules, Series: Madison Game Design Cabal",2022,8.4
Clan War: Unicorn Army Expansion,All the data needed to bring a Unicorn army on the tabletop,,,Alderac Entertainment Group,2.0,2.0,180.0,180.0,180.0,12.0,,2,0,Uncategorized,"Book, Expansion for Base-game, Miniatures, Wargame",Scenario / Mission / Campaign Game,"Continents: Asia, Players: Two Player Only Games",1999,6.5
The Shipwreck Arcana: The Restless Hours Promo Card,Doomed difficulty promo for The Shipwreck Arcana.,,,Meromorph Games,2.0,5.0,10.0,30.0,20.0,12.0,,21,4,Uncategorized,"Expansion for Base-game, + 6 more","Communication Limits, Cooperative Game, Hand Management, Pattern Building","Admin: Upcoming Releases, Crowdfunding: Kickstarter, Game: The Shipwreck Arcana, Promotional: Promo Cards",2021,8.1
Nightmare Horror Adventures: Welcome to Crafton Mansion,"Solve the murders, prevent your own!",Team Identity,,Identity Games International B.V. + 5 more,4.0,5.0,120.0,120.0,120.0,16.0,2.0,341,73,Uncategorized,"Horror, Murder/Mystery, Party Game, Puzzle","Cooperative Game, Deduction, Real-Time, Storytelling","Admin: Better Description Needed!, Components: Blindfolds / Blackout Glasses, Components: Digital Hybrid – App/Website Required",2021,7.8
The Capitals Game,"Flash cards of every capital, country and flag. Do you know them all?",Phil Hopper,Jeff Bobias,Nerd Games,1.0,6.0,5.0,30.0,17.5,6.0,,1,2,Uncategorized,Card Game,Memory,,2020,1.0
Butterfly Effect,Use your imagination to explain a random Butterfly Effect in 60 seconds,Phil Hopper,Ariel Balagtas,Nerd Games,2.0,8.0,30.0,45.0,37.5,13.0,,1,0,Uncategorized,"Deduction, Educational, Humor","Events, Narrative Choice / Paragraph, Voting",,2020,1.5
WW84: Wonder Woman Card Game,Prove you're the true Wonder Woman by rescuing civilians and dispatching foes.,,,Cryptozoic Entertainment + 1 more,2.0,4.0,25.0,25.0,25.0,14.0,1.0,33,18,Uncategorized,"Card Game, Movies / TV / Radio theme","Card Play Conflict Resolution, Open Drafting","Comic Books: DC Universe, Comic Books: Wonder Woman, Theme: Superheroes",2021,4.2
Last War: West – Cold War in Europe 1945-1989 WPO & NATO,A game with a World War III background.,Tien-Ze Zhou,,Kilovolt Design,2.0,2.0,,,,14.0,4.0,5,2,Uncategorized,"Modern Warfare, Wargame","Dice Rolling, Hexagon Grid","Continents: Europe, History: Cold War, Players: Two Player Only Games, Political: NATO, Theme: Alternate History",2021,7.8
WheelVille,The first WWF game about sustainable resource use and circular economy.,,,(Self-Published),3.0,4.0,30.0,75.0,52.5,10.0,,5,0,Uncategorized,"Economic, Environmental",Worker Placement,,2020,5.6
Pitcoin,Rapidly trade your favorite cryptocurrencies to be the best trader,Ben Swatton,,Trubwick,3.0,6.0,10.0,20.0,15.0,5.0,,2,0,Uncategorized,"Action / Dexterity, Card Game, Party Game","Auction/Bidding, Commodity Speculation, Simultaneous Action Selection, Trading",Theme: Cryptocurrency,2020,10.0
Party Bowl,Throw word promps into a bowl and guess the words to win.,,,What Do You Meme?,3.0,20.0,30.0,90.0,60.0,12.0,,9,0,Uncategorized,"Action / Dexterity, Humor, Party Game, Word Game","Acting, Deduction, Memory, Open Drafting, Paper-and-Pencil, Team-Based Game",,2020,5.8
Say What?!: The Adult Party Game!,Conjure up clues about ridiculously disgusting cards with sneaky deceptions.,,,Gibbo's Games,3.0,6.0,,,,17.0,,1,1,Uncategorized,"Card Game, Humor, Mature / Adult, Party Game","Betting and Bluffing, Communication Limits, Simultaneous Action Selection",,2019,1.3
,Collect dices from same color or icon to reach pirate island,,,Djeco,2.0,4.0,15.0,15.0,15.0,6.0,1.0,4,1,Uncategorized,"Action / Dexterity, Dice",,,,6.8
Gùgōng: Deluxe Big Box,Contains Gùgōng Deluxe base game and the Pànjūn Deluxe expansion,Andreas Steding,Andreas Resch,Game Brewer,1.0,5.0,30.0,150.0,90.0,12.0,3.46,327,84,Uncategorized,"Civilization, Medieval, Travel","Hand Management, Point to Point Movement, Set Collection, Turn Order: Claim Action, Worker Placement","Components: Game Trayz Inside, Country: China, Players: Games with Solitaire Rules, Versions & Editions: Big Box Versions of…",2020,8.2
Tramways: Tile Expansion Packs,you can create infinite maps combined with the modular boards of the game base!,Alban Viard,Sampo Sikiö,AVStudioGames,1.0,5.0,30.0,180.0,105.0,14.0,,10,9,Uncategorized,"Expansion for Base-game, + 3 more","Auction/Bidding, Network and Route Building, Pick-up and Deliver",Game: Tramways,2020,7.0
Sleeping Gods: Primeval Peril (Print & Play Edition),"In the world of Sleeping Gods, explore a dangerous jungle river.",Ryan Laukat,Ryan Laukat,Red Raven Games,1.0,2.0,120.0,240.0,180.0,13.0,3.0,69,62,Uncategorized,"Adventure, Exploration, Print & Play","Cooperative Game, Hand Management, Solo / Solitaire Game, Storytelling","Animals: Dinosaurs, Crowdfunding: Kickstarter, Game: Sleeping Gods, Players: Games with Solitaire Rules, Setting: The Wandering Sea",2020,7.5
FUTURES,Imagine and share your stories of alternative future worlds.,Andrew Luba,,Good Party Games,1.0,8.0,5.0,5.0,5.0,,,2,0,Uncategorized,Card Game,Storytelling,Crowdfunding: Kickstarter,2020,7.0
Clinic Expansion: Medical Dossier 4,This MD4 has been released to complete the sets of MD for the fans of the 1st edition,Alban Viard,Sampo Sikiö,AVStudioGames,2.0,4.0,30.0,120.0,75.0,14.0,,7,5,Uncategorized,"City Building, Educational, Expansion for Base-game","Pattern Building, Tile Placement, Worker Placement","Game: Clinic, Medical: Hospitals / Clinics, Series: Small City Trilogy (Alban Viard)",2020,6.6
Monopoly: Sevilla FC,The game of Monopoly meets the football (soccer) team Sevilla FC.,,,"Eleven Force, Hasbro",2.0,6.0,60.0,180.0,120.0,8.0,,1,0,Uncategorized,"Economic, Negotiation","Auction/Bidding, Income, Lose a Turn, Player Elimination, Set Collection, Trading","Cities: Seville (Spain), Country: Spain, Game: Monopoly (Official), Sports Teams: Sevilla FC, Sports: Football / Soccer",2018,10.0
Lord of the Things,Think quickly & yell politely to take other Lords' things before they take yours.,"Katherine Kavouras, Tina Tempest",Tina Tempest,"Mortal Frenemies, LLC",3.0,6.0,10.0,60.0,35.0,13.0,,4,1,Uncategorized,"Humor, Memory, Party Game, Real-time, Trivia","Dice Rolling, Memory, Pattern Recognition, Speed Matching",,2018,9.0
Monopoly: FC Porto,The game of Monopoly meets the football (soccer) team FC Porto.,,,Hasbro,2.0,6.0,60.0,180.0,120.0,8.0,,1,0,Uncategorized,"Economic, Negotiation","Auction/Bidding, Income, Lose a Turn, Player Elimination, Roll / Spin and Move, + 2 more","Cities: Porto (Portugal), Country: Portugal, Game: Monopoly (Official), Sports: Football / Soccer",2019,10.0
