name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
Italy (fan expansion for Ticket to Ride),Add a Brief Description,Matmo,,(Web published),2.0,4.0,,,,,,5,1,Uncategorized,"Expansion for Base-game, Fan Expansion, Print & Play, Trains, Transportation, Travel","Hand Management, Network and Route Building, Open Drafting, Set Collection","Country: Italy, Game: Ticket to Ride (fan expansions)",2005,5.6
À l'abordage,Add a Brief Description,(Uncredited),,Carlit,2.0,2.0,15.0,15.0,15.0,6.0,,1,0,Uncategorized,"Abstract Strategy, Nautical",,"Components: Marbles, Players: Two Player Only Games",2004,5.0
Small City,Grow & develop your borough to attract citizens and be re-elected mayor.,Alban Viard,"Da-Fanny, Todd Sanders, Sampo Sikiö, Alban Viard",AVStudioGames,1.0,4.0,60.0,120.0,90.0,12.0,3.95,645,209,Strategy,"City Building, Economic, Territory Building","Area Majority / Influence, Simulation, Variable Player Powers","Components: Polyominoes, Series: Small City Trilogy (Alban Viard), Theme: City",2015,7.4
Italy (fan expansion for Ticket to Ride),Add a Brief Description,Stagno13,,(Web published),3.0,4.0,,,,,,3,0,Uncategorized,"Expansion for Base-game, Fan Expansion, Trains, Transportation, Travel","Hand Management, Network and Route Building, Open Drafting, Set Collection","Country: Italy, Game: Ticket to Ride (fan expansions)",2006,6.0
À prendre ou à laisser,Add a Brief Description,(Uncredited),,TF1 Games,2.0,4.0,,,,8.0,,1,0,Uncategorized,Movies / TV / Radio theme,Push Your Luck,,2005,4.0
Arival: the Path of the Past,Add a Brief Description,Paolo Pellegri,,(Web published),1.0,1.0,15.0,15.0,15.0,12.0,2.0,18,24,Uncategorized,"Card Game, Fantasy, Print & Play, Travel","Grid Movement, Open Drafting, Point to Point Movement, Push Your Luck, Solo / Solitaire Game","Contests: Solitaire Print & Play, Players: Games with Solitaire Rules, Players: Solitaire Only Games",2012,6.4
Stones of Fate,Add a Brief Description,Luke Laurie,Ciro Marchetti,Cosmic Wombat Games,2.0,4.0,20.0,30.0,25.0,12.0,1.67,211,85,"Family,  Strategy","Bluffing, Card Game, Memory, Mythology, Renaissance","Area Majority / Influence, Auction/Bidding, Memory, Pattern Recognition, Set Collection","Components: Tarot Cards, Crowdfunding: Kickstarter",2015,6.5
Monopoly: Georgsmarienhütte,Add a Brief Description,,,Winning Moves Germany,2.0,6.0,60.0,60.0,60.0,10.0,,3,0,Uncategorized,"Economic, Negotiation","Auction/Bidding, Player Elimination, Roll / Spin and Move, Set Collection, Trading","Country: Germany, Series: Monopoly-Like",2007,6.3
Monopoly: Hameln (Hamelin),Add a Brief Description,,,Winning Moves Germany,2.0,6.0,60.0,60.0,60.0,10.0,,5,1,Uncategorized,"Economic, Negotiation","Auction/Bidding, Player Elimination, Roll / Spin and Move, Set Collection, Trading","Cities: Hameln (Saxony, Germany), Country: Germany, Series: Monopoly-Like",2007,3.1
A Game of Thrones: The Card Game – The Great Fleet,Add a Brief Description,,,"Edge Entertainment, Fantasy Flight Games, Giochi Uniti, Heidelberger Spieleverlag",2.0,4.0,60.0,60.0,60.0,13.0,,34,14,Uncategorized,"Card Game, Expansion for Base-game, Fantasy, Fighting, Medieval, + 2 more","Hand Management, Open Drafting, Simultaneous Action Selection, Variable Player Powers","Books: A Song of Ice and Fire, Collectible: Living Card Game (Fantasy Flight…, Game: A Game of Thrones – The Card Game (LCG)",2013,7.0
