name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
Box Quiz: TV,Add a Brief Description,Bettina Cronquist,,Box Quiz,1.0,1.0,,,,15.0,,2,2,Uncategorized,"Movies / TV / Radio theme, Trivia",,Game: Box Quiz,2012,2.5
Schnappt Hubi Mitbringspiel,Add a Brief Description,Steffen Bogen,,Ravensburger,2.0,4.0,10.0,15.0,12.5,5.0,1.0,26,11,Uncategorized,"Children's Game, Deduction, Maze","Cooperative Game, Modular Board","Components: 3-Dimensional (3D), Creatures: Ghosts, Series: Mini (Ravensburger)",2013,5.5
Loop Inc.: Expansion Tiles,Add a Brief Description,Scott Almes,Kwanchai Moriya,Eagle-Gryphon Games,1.0,4.0,45.0,45.0,45.0,13.0,2.0,30,26,Uncategorized,"Science Fiction, Travel","Action Queue, Hand Management","Crowdfunding: Kickstarter, Theme: Mad Science / Mad Scientist, Theme: Time Travel",2015,6.7
Isle of Coconuts,Add a Brief Description,Reiner Knizia,Brian Kolodziejski,SimplyFun,2.0,4.0,20.0,20.0,20.0,8.0,1.0,3,0,Children's,"Children's Game, Educational, Math","Area Majority / Influence, Dice Rolling",Animals: Apes / Monkeys,2015,5.0
Loop Inc.: Expansion Cards,Add a Brief Description,Scott Almes,Kwanchai Moriya,Eagle-Gryphon Games,1.0,4.0,45.0,45.0,45.0,13.0,2.0,36,24,Uncategorized,"Expansion for Base-game, Science Fiction, Travel","Action Queue, Hand Management","Crowdfunding: Kickstarter, Theme: Mad Science / Mad Scientist, Theme: Time Travel",2015,6.8
,Add a Brief Description,(Uncredited),,(Public Domain),2.0,2.0,10.0,30.0,20.0,9.0,,3,1,Uncategorized,Abstract Strategy,Mancala,"Category: Combinatorial, Players: Two Player Only Games, Traditional Games: Mancala",,7.0
Lerne zählen!,Add a Brief Description,,Eric Carle,Schmidt Spiele,1.0,3.0,10.0,10.0,10.0,3.0,1.0,1,2,Uncategorized,"Children's Game, Educational, Math",,Series: World of Eric Carle (University Games),2009,4.0
B-Sieged: Heroes Set 2,Add a Brief Description,,,Cool Mini Or Not,,,,,,,1.0,58,29,Uncategorized,Expansion for Base-game,,,2016,6.8
The Lord of the Ice Garden: Vuko Tiles Promo,Add a Brief Description,Krzysztof Wolicki,Dominik Kasprzycki,REDIMP GAMES,2.0,4.0,90.0,90.0,90.0,14.0,4.0,18,4,Uncategorized,"Expansion for Base-game, Fantasy, Fighting, Medieval, Novel-based",,,2014,8.1
Monster Allegiance,Add a Brief Description,John Ingemi,,(Self-Published),2.0,4.0,30.0,30.0,30.0,,,7,4,Uncategorized,"Card Game, Fantasy","Hand Management, Pattern Building, Tile Placement","Creatures: Monsters, Crowdfunding: Kickstarter",2016,6.0
Pralaya,Add a Brief Description,Y. Ohashi,Qtonagi,Domina Games + 2 more,2.0,5.0,20.0,20.0,20.0,10.0,1.33,136,36,Uncategorized,"Ancient, Card Game","Action Points, Open Drafting, Push Your Luck, Set Collection",Digital Implementations: Tabletopia,2015,7.0
Texas (fan expansion for Ticket to Ride),Add a Brief Description,Doug Parmer,Doug Parmer,(Web published),2.0,5.0,30.0,60.0,45.0,8.0,,10,4,Uncategorized,"Expansion for Base-game, Fan Expansion, Print & Play",Network and Route Building,"Game: Ticket to Ride (fan expansions), States: Texas",2009,7.0
ヘッジホッグジレンマ (Hedgehog's Dilemma),Add a Brief Description,Pesu Nabeno,Tama Nabeno,Nabeno Kikaku,3.0,5.0,15.0,20.0,17.5,8.0,,21,9,Uncategorized,Card Game,"Card Play Conflict Resolution, Matching",Animals: Hedgehogs / Porcupines,2015,5.7
Ninjan!!,Add a Brief Description,Toshiki Sato,長谷川 登鯉 (Tori Hasegawa),さとーふぁみりあ (Sato Familie),2.0,2.0,20.0,20.0,20.0,6.0,,1,0,Uncategorized,"Card Game, Children's Game, Fighting",Rock-Paper-Scissors,"Admin: Better Description Needed!, Players: Two Player Only Games",2015,9.0
Kunterbuntes Früchtesammeln,Add a Brief Description,,,Schmidt Spiele,2.0,4.0,,,,3.0,,8,2,Uncategorized,Children's Game,,Series: World of Eric Carle (University Games),2009,5.3
Thunderbirds: Devious Schemes Promo Card Set,Add a Brief Description,Matt Leacock,Michal E. Cross,Modiphius Entertainment,1.0,4.0,,,,10.0,2.63,91,42,Uncategorized,"Expansion for Base-game, Movies / TV / Radio theme, Science Fiction","Cooperative Game, Pick-up and Deliver, Storytelling","Celebrities: Gerry Anderson, Crowdfunding: Kickstarter, Game: Thunderbirds, TV Shows: Thunderbirds",2015,7.5
Orcorrida,Add a Brief Description,"Wagner R dos Santos, Antonio Marcelo",Boris Simiano,"(Self-Published), Riachuelo Games",3.0,6.0,10.0,15.0,12.5,12.0,,2,0,Uncategorized,"Card Game, Humor, Racing",Hand Management,Card Games: Climbing,2015,6.8
Zooscape,The animals have escaped! Get them back into their cages in this light card game.,Hisashi Hayashi,"Katy Lipscomb, Michael Menzel, Ryo Nyamo","Arclight Games, OKAZU Brand, Tasty Minstrel Games, Zoch Verlag",3.0,6.0,15.0,30.0,22.5,8.0,1.13,309,121,Uncategorized,"Animals, Card Game","Set Collection, Voting",Folk Tales & Fairy Tales: Hansel and Gretel,2015,5.7
Yoga Cards,Add a Brief Description,,,ThinkFun,2.0,4.0,,,,6.0,,1,1,Uncategorized,"Action / Dexterity, Card Game, Children's Game","Push Your Luck, Simultaneous Action Selection",,2015,3.0
Hvězdokupy: Hra plná hvězd,Add a Brief Description,Pavel Tatíček,Martina Lásková,Albi,2.0,6.0,20.0,20.0,20.0,8.0,,18,1,Uncategorized,"Abstract Strategy, Number","Dice Rolling, Pattern Building",,2015,5.9
モリヤウォーズ (Moriya Wars: Episode II),Add a Brief Description,ゆお (Yuo),,こっち屋 (Kocchiya),3.0,5.0,10.0,10.0,10.0,10.0,,2,0,Uncategorized,,,Video Game Theme: Project Shrine Maiden,2015,7.0
Bushi Tanto,Add a Brief Description,Nicholas Markgraf,,PawnJoker Games,2.0,5.0,20.0,40.0,30.0,8.0,1.0,13,9,Uncategorized,Dice,"Dice Rolling, Set Collection",Theme: Samurai,2021,5.8
Moon-Sun-Angel,Add a Brief Description,Mitsuo Yamamoto,"Mitsuo Yamamoto, Shukoko Yamamoto",Logy Games,2.0,2.0,5.0,15.0,10.0,8.0,1.0,27,16,Abstract,Abstract Strategy,,"Category: Combinatorial, Players: Two Player Only Games",2015,6.5
Irresponsibility: The Mr Toast Card Game,Avoid chore and chillax with Mr. Toast!,Dan Goodsell,Dan Goodsell,"(Self-Published), Hasbro",2.0,4.0,10.0,20.0,15.0,7.0,1.0,123,35,Uncategorized,"Card Game, Party Game","Hand Management, Take That",Crowdfunding: Indiegogo,2015,5.9
SHOOTERZ,Add a Brief Description,Randall Thompson (I),,Caper Games,2.0,2.0,20.0,30.0,25.0,8.0,1.0,14,6,Uncategorized,Card Game,Hand Management,"Admin: Better Description Needed!, Players: Two Player Only Games, Sports: Ice Hockey",2014,6.2
Blood Before Richmond: Glendale & White Oak Swamp,Add a Brief Description,Amabel Holland,Ilya Kudriashov,Tiny Battle Publishing,2.0,2.0,90.0,90.0,90.0,,,4,9,Wargames,"American Civil War, Wargame","Chit-Pull System, Dice Rolling, Hexagon Grid","Players: Two Player Only Games, Series: Blood Before Richmond",2015,7.4
Kelly Party Surprise,Add a Brief Description,,,"Mattel, Inc.",2.0,4.0,,,,3.0,,1,0,Uncategorized,Children's Game,"Memory, Open Drafting, Set Collection","Theme: Dolls, Toys: Barbie",2002,2.0
JunkWars,Lead one of the factions struggling for power in a post-apocalyptic future!,"Simone sime Peracchi, Francesco Pieraccini",Simone sime Peracchi,Moscabianca Edizioni,2.0,4.0,60.0,90.0,75.0,12.0,2.0,3,1,Uncategorized,"Card Game, Science Fiction","Card Play Conflict Resolution, Open Drafting, Resource to Move",Theme: Cyberpunk,2018,8.7
Emporion,Add a Brief Description,Xavier Carrascosa,Ricardo Jurado,Mont Tàber + 1 more,2.0,4.0,30.0,45.0,37.5,12.0,2.0,122,43,Uncategorized,"Ancient, Card Game, Civilization","Open Drafting, Set Collection",Crowdfunding: Verkami,2016,7.0
Rainbow Brite: A Color Matching Game,Add a Brief Description,,,Golden,2.0,4.0,,,,3.0,,2,1,Uncategorized,Children's Game,"Roll / Spin and Move, Set Collection",Theme: Dolls,1983,7.0
Dark Mages,A crossover between Role-Playing Game and Trading Card Game.,Eric Bleney,,Bleem Divertissements Inc.,2.0,8.0,20.0,60.0,40.0,13.0,2.0,151,54,Uncategorized,"Card Game, Fantasy","Dice Rolling, Hand Management, Player Elimination, Variable Player Powers",Crowdfunding: Kickstarter,2016,6.6
Where's Wally? The Board Game,Add a Brief Description,,Martin Handford,Paul Lamond Games Ltd,2.0,4.0,,,,7.0,,4,0,Uncategorized,"Children's Game, Real-time",,Characters: Where's Waldo?,2014,4.8
Memory Yoga,Add a Brief Description,,,ThinkFun,2.0,4.0,,,,3.0,,1,1,Uncategorized,"Action / Dexterity, Children's Game, Memory",Memory,,2015,6.0
Quality Street Monopoly,Add a Brief Description,,,Nestlé,2.0,2.0,,,,,,2,0,Uncategorized,"Card Game, Children's Game, Memory",Memory,Promotional: Promo Board Games,2005,6.0
The Buildings,Add a Brief Description,Mitsuo Yamamoto,Mitsuo Yamamoto,Logy Games,2.0,2.0,,,,,5.0,1,2,Abstract,Abstract Strategy,Tile Placement,Players: Two Player Only Games,2015,9.0
My Big World: Europe,Add a Brief Description,"Dave Choi, Ian Parovel",,Happy Baobab,2.0,6.0,20.0,30.0,25.0,7.0,,1,0,Uncategorized,"Educational, Party Game, Travel","Auction/Bidding, Grid Movement",Continents: Europe,2014,8.0
Tumult,Add a Brief Description,Lauge Luchau,Jamie Littler,AT Games,1.0,5.0,15.0,30.0,22.5,8.0,1.0,12,5,Uncategorized,"Puzzle, Real-time",Pattern Recognition,,2015,6.9
