name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
Hobiti: Nové pochoutky,Expansion of the party card game Hobiti and Hobiti: Dlouhé svátky,Petr Král,,Altar Games,3,8,15.0,45.0,30.0,7,,1,0,Uncategorized,"Expansion for Base-game, + 5 more","Memory, Open Drafting",,2022,7.0
Ternion Factor,Can you master the angles?,Arthur Blumberg,,Kadon Enterprises,2,4,20.0,60.0,40.0,10,,1,1,Uncategorized,Abstract Strategy,"Area Majority / Influence, Race",Traditional Games: Halma,2018,2.0
RunnuRound,Can you guess the sequence?,Joe Marasco,,Kadon Enterprises,1,4,15.0,60.0,37.5,10,,1,1,Uncategorized,Abstract Strategy,Betting and Bluffing,,2014,3.0
Amherst-Opoly,"A monopoly clone set in Amherst, Nova Scotia",,,Late for the Sky Production Company,2,6,,,,8,,1,1,Uncategorized,"Economic, Negotiation","Auction: English, Auction/Bidding, Income, Loans, Lose a Turn, + 6 more",Series: Monopoly-Like,2020,6.0
,Attempt to score the most points by threading the needle with your bid!,Daniel Kenel,,(Looking for a publisher),4,5,30.0,60.0,45.0,13,,2,1,Uncategorized,Card Game,"Predictive Bid, Trick-taking",Admin: Upcoming Releases,,8.5
