name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
Trivial Pursuit: Family Edition – Card Set,Add a Brief Description,,,Parker Brothers,2.0,24.0,60.0,60.0,60.0,8.0,2.0,4,2,Uncategorized,"Expansion for Base-game, Trivia",,Game: Trivial Pursuit,1992,5.9
Agents of SMERSH: Swagman's Hope Kickstarter Extras,More swag for SMERSH takes the adventure out of this world!,"Dan Booth, Jason Maxwell","Guri Mond, George Patsouras, Julia Semionova",8th Summit,1.0,5.0,120.0,120.0,120.0,14.0,3.0,40,30,Uncategorized,"Adventure, Expansion for Base-game, Spies/Secret Agents","Cooperative Game, Dice Rolling, Storytelling",Crowdfunding: Kickstarter,2014,7.6
Hungry as a Bear,Add a Brief Description,Eljan Reeden,Jennifer Baule-Prinz,"HABA, Hobby World",1.0,3.0,5.0,5.0,5.0,2.0,1.0,138,43,Children's,"Action / Dexterity, Children's Game",Memory,"Animals: Bears, Series: My Very First Games (HABA)",2014,5.7
Ad-Lib Crossword Cubes,Add a Brief Description,(Uncredited),(Uncredited),"Diset S. A., Dujardin, E. S. Lowe Company Inc., Jumbo + 9 more",2.0,6.0,20.0,20.0,20.0,8.0,1.0,34,37,Uncategorized,"Dice, Word Game",Dice Rolling,"Category: Crossword Games, Components: Letter Cubes / Word Dice, Components: Sand Timers, Word Games: Spelling / Letters",1963,5.5
Scarborough Fair,Add a Brief Description,Allen Lamb,Allen Lamb,"The Game Crafter, LLC",2.0,4.0,30.0,60.0,45.0,12.0,1.5,22,14,Uncategorized,"Economic, Renaissance","Area Majority / Influence, Worker Placement",,2012,5.8
Fish In A Barrel: The Fish-Linking Game,Add a Brief Description,,,Front Porch Classics,2.0,4.0,,,,5.0,,5,3,Uncategorized,Children's Game,,Animals: Fish / Fishes,2011,3.8
SOS: Sheep in Trouble,Add a Brief Description,"Inka Brand, Markus Brand",Günther Jakobs,HABA,2.0,4.0,15.0,15.0,15.0,4.0,1.0,47,13,Children's,"Animals, Children's Game","Dice Rolling, Roll / Spin and Move",Animals: Sheep,2014,6.0
Taxi Wildlife,Race to drive into the forest while bringing along as many animals as you can.,Florian Racky,Michael Bayer,HABA,2.0,4.0,10.0,10.0,10.0,5.0,1.0,59,23,Uncategorized,"Animals, Children's Game",Pattern Recognition,Theme: Safaris,2014,6.1
Monopoly: VFG,Add a Brief Description,Charles Darrow,(Uncredited),Winning Moves Germany,2.0,6.0,100.0,100.0,100.0,8.0,,2,0,Uncategorized,"Economic, Negotiation","Auction/Bidding, Player Elimination, Roll / Spin and Move, Set Collection, Trading","Promotional: Promo Board Games, Series: Monopoly-Like",2009,6.0
Dracula's Feast,"Attend the monstrous party, find out who's who, and enjoy the feast!",Peter C. Hayward,Tania Walker,"(Web published), Blue Beard Entertainment, Jellybean Games",4.0,8.0,10.0,15.0,12.5,10.0,1.38,472,167,Uncategorized,"Bluffing, Card Game, Deduction, Horror, Humor, + 2 more","Memory, Player Elimination, Role Playing, Variable Player Powers",Books: Dracula,2017,6.8
Unicorn Glitterluck: Cloud Crystals,"Unicorns! Rainbows! Muffins! Skip across puffy clouds, collect pink crystals, & win!",Kristin Mückel,Stephanie Roehe,HABA,2.0,4.0,10.0,10.0,10.0,3.0,1.36,671,182,Children's,Children's Game,"Dice Rolling, Roll / Spin and Move","Creatures: Unicorns, Series: Unicorn Glitterluck (HABA)",2014,5.9
Battle of the Bands: World Tour Edition,Add a Brief Description,Dan Smith,Dan Smith,(Self-Published),2.0,6.0,20.0,20.0,20.0,8.0,,6,5,Uncategorized,"Card Game, Dice, Humor, Music","Dice Rolling, Hand Management, Take That",Crowdfunding: Kickstarter,2014,5.8
Hiyoko Drip,Add a Brief Description,team SAIEN,わと (wato),Saien,2.0,4.0,10.0,10.0,10.0,6.0,,5,0,Uncategorized,Party Game,Push Your Luck,,2014,6.4
Sweet Sabotage,Add a Brief Description,"Olivia Chung, Charles Cue",,(Self-Published),2.0,6.0,45.0,45.0,45.0,10.0,,5,2,Uncategorized,"Card Game, Economic, Fantasy","Push Your Luck, Set Collection, Take That","Crowdfunding: Indiegogo, Theme: Anime / Manga, Theme: Food / Cooking",2015,7.4
Maskmen,"Shed your cards as fast as you can, as new wrestlers join the fight!","Jun Sasaki, 新澤 大樹 (Taiki Shinzawa)",Jun Sasaki,"Oink Games, PopcornEdu",2.0,6.0,20.0,20.0,20.0,9.0,1.7,1300,303,Family,"Card Game, Sports",Ladder Climbing,"Card Games: Climbing, Card Games: Shedding / Stops, Sports: Wrestling",2014,6.9
"Sticks, Stones and Dragonflame",Add a Brief Description,Javier Martin,"Gary King, Jenny Wüstrich",(Web published),2.0,2.0,15.0,15.0,15.0,10.0,1.0,4,5,Uncategorized,"Bluffing, Dice, Medieval, Print & Play","Dice Rolling, Pick-up and Deliver, Take That",Players: Two Player Only Games,2014,7.3
Contrées,Add a Brief Description,Max Valembois,Max Valembois,(Self-Published),2.0,2.0,15.0,15.0,15.0,10.0,1.5,20,7,Uncategorized,Abstract Strategy,"Area Majority / Influence, Modular Board","Crowdfunding: Ulule, Players: Two Player Only Games",2014,6.7
,Add a Brief Description,,,"(Looking for a publisher), (Unknown)",2.0,6.0,60.0,60.0,60.0,,,1,0,Uncategorized,Party Game,"Dice Rolling, Take That",,,9.0
Kamienie Erenthi: Lasy Aranheim,Add a Brief Description,,Paweł Kuciel,Artisan Workshop,2.0,8.0,30.0,30.0,30.0,8.0,1.5,13,5,Uncategorized,"Bluffing, Card Game, Exploration, Fantasy","Hand Management, Network and Route Building",,2014,5.5
Little Observation,Add a Brief Description,,Nathalie Choux,Djeco,2.0,4.0,10.0,10.0,10.0,2.0,1.0,22,9,Uncategorized,"Action / Dexterity, Animals, Children's Game, Dice","Dice Rolling, Pattern Recognition",Animals: Butterflies,2012,5.8
Survivalistic,Add a Brief Description,William C. Mandry,William C. Mandry,"(Self-Published), The Game Crafter, LLC",2.0,4.0,30.0,30.0,30.0,12.0,2.0,17,13,Uncategorized,"Adventure, Card Game, Exploration","Dice Rolling, Hand Management, Open Drafting, Variable Player Powers",,2013,6.2
,Add a Brief Description,,,Dujardin,2.0,4.0,,,,10.0,,1,0,Uncategorized,"Dice, Word Game",Dice Rolling,"Components: Letter Cubes / Word Dice, Word Games: Spelling / Letters",,5.5
Spill and Spell,Add a Brief Description,(Uncredited),,Endless Games (I),1.0,99.0,45.0,45.0,45.0,8.0,,1,0,Uncategorized,"Dice, Word Game",Dice Rolling,"Components: Letter Cubes / Word Dice, Components: Sand Timers",2003,3.0
Dungeon Dice: Monster Pack,Add a Brief Description,Sam Coates,Cam Kendell,Potluck Games,2.0,4.0,20.0,20.0,20.0,8.0,3.5,65,22,Uncategorized,"Expansion for Base-game, + 3 more",Dice Rolling,Crowdfunding: Kickstarter,2014,6.9
Dungeon Dice: Familiar Pack,Add a Brief Description,Sam Coates,Cam Kendell,Potluck Games,2.0,4.0,20.0,20.0,20.0,8.0,2.0,66,22,Uncategorized,"Expansion for Base-game, + 3 more",Dice Rolling,Crowdfunding: Kickstarter,2014,6.9
Dungeon Dice: Potion Pack,"Quaff a potion for a surge of strength, luck, or health.",Sam Coates,Cam Kendell,Potluck Games,2.0,2.0,20.0,20.0,20.0,8.0,,60,26,Uncategorized,"Expansion for Base-game, + 3 more",Dice Rolling,Crowdfunding: Kickstarter,2014,7.0
Dungeon Dice: Five-Player Booster Pack,Add a Brief Description,Sam Coates,Cam Kendell,Potluck Games,2.0,5.0,20.0,20.0,20.0,8.0,3.0,54,24,Uncategorized,"Expansion for Base-game, + 3 more",Dice Rolling,Crowdfunding: Kickstarter,2014,6.7
"Zieh Leine, Flynn!",Add a Brief Description,"Stefan Dorra, Manfred Reindl",,"Gen-X Games, moses. Verlag GmbH",2.0,5.0,15.0,15.0,15.0,6.0,1.0,8,6,Uncategorized,Memory,Memory,,2013,6.1
Welches Tier bin ich?,Add a Brief Description,Laima Zulonė,Laima Zulonė,"LOGIS, PMWD, Sugorokuya",1.0,16.0,20.0,20.0,20.0,3.0,1.0,13,4,Uncategorized,"Animals, Children's Game, Deduction, Real-time",,,2013,5.5
Battle of Byeokjegwan,Add a Brief Description,Gavin Hu,,War Drum Games,1.0,2.0,,,,,2.0,8,0,Wargames,"Pike and Shot, Wargame",Hexagon Grid,"Country: Korea, History: Sengoku Period",2014,7.0
TSWW: Singapore,Add a Brief Description,John Bannerman,John Bannerman,"Diffraction Entertainment, Ltd.",2.0,2.0,,,,,4.8,13,12,Wargames,"Wargame, World War II","Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Multiple Maps, + 2 more","Country: Great Britain, Country: Japan, Country: Netherlands, History: World War II (Pacific), Players: Two Player Only Games, Series: The Second World War (Diffraction…",2015,8.4
Strife: Legacy of the Eternals,Match wits against your opponent to see who uses their identical deck better.,Christopher Hamm,Jonathan Powell,"Cube Factory of Ideas, V3G",2.0,2.0,60.0,60.0,60.0,13.0,2.48,544,194,Strategy,"Card Game, Fantasy","Advantage Token, Hand Management, Pattern Building, Simultaneous Action Selection","Crowdfunding: Kickstarter, Players: Two Player Only Games",2014,6.8
Evilution,Add a Brief Description,Kevin Castle,,Castle Games Company,2.0,4.0,30.0,30.0,30.0,12.0,,1,1,Uncategorized,"Animals, Card Game",,"Admin: Unreleased Games, Crowdfunding: Kickstarter",2014,1.0
Start Player Express,"Going first matters, do you have what it takes?",Ted Alspach,Ted Alspach,Bézier Games,2.0,99.0,1.0,1.0,1.0,8.0,1.14,109,43,Uncategorized,"Comic Book / Strip, Dice, Party Game",Dice Rolling,"Crowdfunding: Kickstarter, Theme: Boardgaming, Versions & Editions: Dice Versions of Non-Dice…",2014,6.5
Lost Valley: The Yukon Mini-Expansion,Add a Brief Description,"Tobias Goslar, Roland Goslar, Johannes Goslar","Harald Lieske, Felix Scheinberger",Pandasaurus Games,2.0,6.0,45.0,45.0,45.0,10.0,,43,33,Uncategorized,Expansion for Base-game,"Modular Board, Tile Placement",Crowdfunding: Kickstarter,2014,6.7
,Add a Brief Description,,,Fun and Games,2.0,99.0,45.0,45.0,45.0,10.0,,4,2,Uncategorized,"Dice, Word Game",Dice Rolling,"Components: Letter Cubes / Word Dice, Word Games: Spelling / Letters",,6.5
Letter Dice,Add a Brief Description,(Uncredited),(Uncredited),HABA,1.0,6.0,45.0,45.0,45.0,8.0,2.0,6,6,Uncategorized,"Children's Game, Dice, Word Game",Dice Rolling,"Components: Letter Cubes / Word Dice, Word Games: Spelling / Letters",2009,4.5
Script-o-Gram,Add a Brief Description,,,"Diset S. A., Jumbo",,,,,,,,9,7,Uncategorized,"Dice, Word Game",Dice Rolling,"Components: Letter Cubes / Word Dice, Components: Sand Timers, Word Games: Spelling / Letters",1979,5.7
Firefly: The Game – Blue Sun,Add a Brief Description,"Aaron Dill, John Kovaleski, Sean Sweigart",Katie Dillon,"Battlefront Miniatures Ltd, Gale Force Nine, LLC",1.0,4.0,120.0,120.0,120.0,13.0,2.88,1700,364,Thematic,"Expansion for Base-game, Movies / TV / Radio theme, Science Fiction, Space Exploration, Travel","Area Movement, Dice Rolling, Open Drafting, Pick-up and Deliver, Take That, + 2 more","Admin: Better Description Needed!, Game: Firefly – The Game, Players: Games with Solitaire Rules, TV Shows: Firefly",2014,8.1
Wanted: The Outlaws,Add a Brief Description,,Laurel Carberg,Bibelot Games,1.0,4.0,30.0,30.0,30.0,10.0,1.5,22,10,Uncategorized,"American West, Card Game, Party Game",,Crowdfunding: Kickstarter,2014,6.9
,Add a Brief Description,(Uncredited),,(Public Domain),2.0,4.0,20.0,20.0,20.0,,3.0,6,2,Uncategorized,Card Game,Trick-taking,"Components: Traditional Playing Cards, Country: Czech Republic, Country: Slovakia",,6.5
Anima Tactics: Frederick Adler,Add a Brief Description,(Uncredited),,Cipher Studios,2.0,2.0,60.0,60.0,60.0,12.0,3.0,1,0,Uncategorized,"Expansion for Base-game, Fantasy, Fighting, Miniatures","Action Points, Dice Rolling","Game: Anima Tactics, Players: Two Player Only Games, Setting: Anima Universe, Theme: Anime / Manga",2012,8.0
