name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
Startropolis: Second Edition,Build a 3D space station and try to be the richest corporation on the station.,"Tony Mastrangeli, Jeff Petersen","Kent Hamilton, Brian Patterson",Petersen Games,2.0,4.0,30.0,60.0,45.0,8.0,,9,3,Uncategorized,"City Building, Economic, Science Fiction","Market, Modular Board, Set Collection, Tile Placement","Admin: Upcoming Releases, Creatures: Aliens / Extraterrestrials",2022,3.9
Dino Escape,Dinosaurs try to escape a volcano by building paths and sabotaging the opponents.,Eduardo Andrade,Guilherme Marques,TGM Editora,2.0,4.0,30.0,30.0,30.0,14.0,1.0,9,0,Uncategorized,Prehistoric,"Grid Movement, Hand Management, Race, Take That, Tile Placement","Animals: Dinosaurs, Components: Meeples (Dinosaur) / Dinomeeples, Theme: Survival, Theme: Volcanoes",2021,8.4
Magnificent BarStars,Demon blood daiquiri? Toxic waste margarita? Mix cocktails and ruin the competition!,"Ben Grimes, Daniel Harries, Melanie Keyzor",Daniel Harries,Oddity Works,3.0,6.0,60.0,120.0,90.0,18.0,,3,1,Uncategorized,"Card Game, Humor, Mature / Adult, Party Game","Acting, Card Play Conflict Resolution, Hand Management, Player Judge, Storytelling","Admin: Upcoming Releases, Theme: Pub, Bars, Bistros...",2022,6.3
Gefährliche Rätsel: Sherlock in Not,A Card game of puzzles where Sherlock is in Danger!,,,moses. Verlag GmbH,2.0,4.0,30.0,60.0,45.0,10.0,,3,1,Uncategorized,"Novel-based, Puzzle","Deduction, Targeted Clues",Books: Sherlock Holmes,2020,4.3
Unsurmountable: Dual Peaks,"Two peaks, which means two distinct routes to the top.",Scott Almes,Christy Johnson,"Button Shy, Salt & Pepper Games",1.0,1.0,15.0,15.0,15.0,8.0,,92,72,Uncategorized,"Expansion for Base-game, + 3 more","Chaining, Network and Route Building","Crowdfunding: Kickstarter, Game: Unsurmountable, Series: Simply Solo Games (Button Shy), Series: Wallet Games (Button Shy), Sports: Mountain Climbing",2021,6.9
,Filipino rebels fight against the Spanish forces.,Javier Garcia de Gabiola,Miguel Santacruz,Headquarter Games,1.0,2.0,60.0,90.0,75.0,14.0,3.0,10,5,Wargames,"Economic, Political, Wargame","Area Majority / Influence, Area Movement, Dice Rolling, Simulation","Admin: Upcoming Releases, Country: Philippines, History: Spanish-American War, Players: Wargames with Rules Supporting Only Two…, Players: Wargames with Solitaire Rules",,7.7
I Guess This Is It,A two-player game about saying goodbye.,Cezar Capacle,Anastasia Khmelevska,Button Shy,2.0,2.0,30.0,30.0,30.0,13.0,1.0,28,26,Uncategorized,"Card Game, Print & Play","Cooperative Game, Hand Management, Role Playing, Square Grid, Storytelling","Containers: Wallets, Contests: Button Shy Game Design Contests and…, Crowdfunding: Kickstarter, Players: Two Player Only Games, Series: Role Playing Wallet Line (Button Shy), Series: Wallet Games (Button Shy)",2022,7.1
GENSMAK!,The first pop-culture trivia game that levels the playing field for every generation.,,,"Wadduknow, LLC",2.0,10.0,30.0,30.0,30.0,12.0,2.0,20,11,Uncategorized,"Card Game, Humor, Party Game, Trivia",Set Collection,,2021,8.4
Federation Commander: Romulan Space,Extend the Star Fleet Universe to the Romulan & Gorn borders.,Stephen V. Cole,Mark Evans (I),"Amarillo Design Bureau, Inc.",1.0,6.0,60.0,60.0,60.0,10.0,,1,0,Uncategorized,"Expansion for Base-game, Movies / TV / Radio theme, Science Fiction, Wargame","Action Points, Dice Rolling, Hexagon Grid, Scenario / Mission / Campaign Game, Simulation, Simultaneous Action Selection","Game: Federation Commander, Setting: Star Fleet Universe, TV Shows: Star Trek (various)",2006,10.0
Park Deco,Parking lot roll and write set in the Deco era with bag-building!,Benny Sperling,Benny Sperling,"Lagniappe Games, Roll and Write Revolution",1.0,20.0,15.0,45.0,30.0,12.0,,1,2,Uncategorized,"Dice, Print & Play, Puzzle","Deck, Bag, and Pool Building, Dice Rolling, Solo / Solitaire Game","Admin: Upcoming Releases, Crowdfunding: Kickstarter, Mechanism: Roll-and-Write, Players: Games with Solitaire Rules",2022,6.0
Brainwave Painters,You'll become a Wave Interceptor to find where the rare Energy crystals.,"陳亭聿 ( GingerGinger ), 陳柏諭 ( TaroTaro )",陳柏諭 ( TaroTaro ),Maddish Island,3.0,8.0,15.0,40.0,27.5,8.0,,17,5,Uncategorized,"Fantasy, Humor, Party Game, Real-time","Action Timer, Communication Limits, Line Drawing, Paper-and-Pencil, Turn Order: Progressive",,2021,7.0
A Lot of Gems,"Flip and find fossils, gold, and gemstones.",松元泰右 (Matsumoto Taisuke),たかみまこと (Makoto Takami),"Arclight Games, ライフタイムゲームズ (Life Time Games)",2.0,6.0,5.0,15.0,10.0,4.0,1.0,13,1,Uncategorized,Children's Game,"Memory, Set Collection",,2019,5.0
Unsurmountable: Big Climb,Two new powerful factors in any climb: prayer flags and seracs.,Scott Almes,Christy Johnson,"Button Shy, Salt & Pepper Games",1.0,1.0,15.0,15.0,15.0,8.0,,97,71,Uncategorized,"Expansion for Base-game, + 3 more","Chaining, Network and Route Building","Crowdfunding: Kickstarter, Game: Unsurmountable, Series: Simply Solo Games (Button Shy), Series: Wallet Games (Button Shy), Sports: Mountain Climbing",2021,6.9
Mission Pawssible!,It's a mad scramble between the players as they all get their dogs/cats adopted!,Nikita Mathur Zatakia,,NMZ Games,2.0,5.0,15.0,35.0,25.0,14.0,,2,0,Uncategorized,"Abstract Strategy, Animals","Deck Construction, Open Drafting, Race","Animals: Cats, Animals: Dogs",2021,8.2
