name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
Duel in the Dark: Acoustic Mirror,Add a Brief Description,Friedemann de Pedro,Friedemann de Pedro,"Pilot Games, Z-Man Games",1.0,2.0,45.0,45.0,45.0,,2.29,54,37,Wargames,"Aviation / Flight, Expansion for Base-game, Wargame, World War II",Secret Unit Deployment,Game: Duel in the Dark,2007,6.5
Falcon Ace,Add a Brief Description,Steve Hawkins,,(Self-Published),1.0,1.0,120.0,120.0,120.0,12.0,4.0,5,9,Wargames,"Aviation / Flight, Modern Warfare, Print & Play, Wargame","Action Points, Area Majority / Influence, Area-Impulse, Dice Rolling, Hexagon Grid, + 2 more",Players: Games with Solitaire Rules,2009,8.3
Duel in the Dark: Quad Flak,Add a Brief Description,Friedemann de Pedro,Friedemann de Pedro,"Pilot Games, Z-Man Games",1.0,2.0,45.0,45.0,45.0,,2.29,55,37,Wargames,"Aviation / Flight, Expansion for Base-game, Wargame, World War II",Secret Unit Deployment,Game: Duel in the Dark,2007,6.7
Duel in the Dark: The Walls Have Ears,Add a Brief Description,"Friedemann de Pedro, Michael Koznarsky",Friedemann de Pedro,"Pilot Games, Z-Man Games",1.0,2.0,45.0,45.0,45.0,,2.33,47,30,Wargames,"Aviation / Flight, Expansion for Base-game, Wargame, World War II",Secret Unit Deployment,Game: Duel in the Dark,2007,6.9
Starz,Add a Brief Description,Robert Fern,,Arizona Games,2.0,4.0,45.0,45.0,45.0,,1.0,5,4,Abstract,Abstract Strategy,Roll / Spin and Move,Components: 15 x 15 Grids,1984,7.0
Duel in the Dark: Skilled Gun Crew,Add a Brief Description,Friedemann de Pedro,Friedemann de Pedro,"Pilot Games, Z-Man Games",1.0,2.0,45.0,45.0,45.0,,2.33,44,30,Wargames,"Aviation / Flight, Expansion for Base-game, Wargame, World War II",Secret Unit Deployment,Game: Duel in the Dark,2007,6.6
Abyss,Add a Brief Description,Walter Joris,,(Web published),2.0,2.0,30.0,30.0,30.0,,2.0,5,7,Abstract,Abstract Strategy,Point to Point Movement,"Components: 5 x 5 Grids, Players: Two Player Only Games",2002,5.0
Survival Terror,Add a Brief Description,Luigi Saggese,,"(Web published), DV Games",1.0,2.0,30.0,30.0,30.0,,1.0,3,3,Uncategorized,"Horror, Print & Play","Dice Rolling, Hexagon Grid",,2005,1.0
Ramses: Wettlauf um die Reichtümer Ägyptens,Add a Brief Description,Florian Isensee,,Isensee Verlag,2.0,4.0,30.0,30.0,30.0,8.0,1.0,12,9,Uncategorized,Card Game,"Hand Management, Set Collection, Trading",,2007,4.5
The Golden Compass: The Game,Add a Brief Description,(Uncredited),,"Sababa Toys, Inc.",2.0,5.0,60.0,60.0,60.0,8.0,1.33,15,9,Children's,"Children's Game, Movies / TV / Radio theme, Novel-based","Dice Rolling, Roll / Spin and Move",Books: His Dark Materials,2007,4.2
"Eye Witness, What Do You Remember?","Study the drawing, then answer a quiz about what you have seen.",(Uncredited),,Milton Bradley,,,,,,,,4,4,Uncategorized,Memory,Memory,,1971,6.6
Huckleberry Hound Tiddledy Winks Tennis,Add a Brief Description,(Uncredited),,Milton Bradley,,,,,,,,1,0,Uncategorized,"Action / Dexterity, Comic Book / Strip, Movies / TV / Radio theme",,"Animals: Dogs, Sports: Tennis, Traditional Games: Tiddlywinks, TV Shows: Hanna-Barbera, TV Shows: Huckleberry Hound, TV Shows: Quick Draw McGraw",1959,2.0
