name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
The Great Stampede West,Add a Brief Description,(Uncredited),,Delight Dallas,2.0,4.0,,,,,,1,2,Uncategorized,"American West, Economic","Roll / Spin and Move, Set Collection",,1981,4.0
Crazy Dingo,Add a Brief Description,(Uncredited),David Cochard,Tilsit,2.0,5.0,30.0,30.0,30.0,6.0,1.0,2,1,Uncategorized,"Animals, Card Game, Racing",Hand Management,"Animals: Ostriches, Country: Australia",2009,6.0
1914: Offensive à outrance,"Detailed ""Monster"" type game on the opening moves in the West in 1914.",Michael Resch,"Rodger B. MacGowan, Michael Resch, Scott Stewart",GMT Games,1.0,4.0,,,,,4.11,136,102,Wargames,"Wargame, World War I","Dice Rolling, Hexagon Grid, Simulation","Country: Belgium, Country: France, Country: Germany, Country: United Kingdom, Digital Implementations: VASSAL, History: 1914 Guns of August Campaign, + 1 more",2013,7.9
Séries Story,Add a Brief Description,(Uncredited),David Cochard,Tilsit,2.0,24.0,90.0,90.0,90.0,10.0,,1,0,Uncategorized,"Movies / TV / Radio theme, Trivia",Roll / Spin and Move,,2006,6.0
Das magische Labyrinth,Add a Brief Description,(Uncredited),,MB Spiele,2.0,2.0,,,,7.0,,7,3,Children's,"Action / Dexterity, Children's Game, Maze, Memory","Memory, Network and Route Building",Players: Two Player Only Games,1990,6.0
Britain's Got Talent The Electronic Board Game,Add a Brief Description,(Uncredited),,Drumond Park Ltd.,4.0,10.0,,,,8.0,,1,2,Uncategorized,"Movies / TV / Radio theme, Music, Party Game",,,2009,5.0
X Factor Board Game,Add a Brief Description,(Uncredited),,Halsall,2.0,6.0,,,,6.0,,3,3,Uncategorized,"Movies / TV / Radio theme, Music, Party Game",,,2008,5.0
Pirate Code,Add a Brief Description,Cephas Howard,,LEGO,2.0,4.0,15.0,15.0,15.0,8.0,1.35,146,56,Children's,"Deduction, Pirates, Puzzle","Dice Rolling, Modular Board, Pattern Building","Series: LEGO Games, Toys: LEGO",2009,5.2
Race 3000,Add a Brief Description,"Bastiaan Brederode, Cephas Howard",,LEGO,2.0,4.0,20.0,20.0,20.0,7.0,1.13,198,83,Children's,"Children's Game, Racing",Roll / Spin and Move,"Components: Dice With Swappable Faces, Series: LEGO Games, Sports: Auto Racing, Toys: LEGO",2009,4.8
Monster 4,Add a Brief Description,Cephas Howard,,LEGO,2.0,4.0,15.0,15.0,15.0,7.0,1.09,157,52,Children's,"Children's Game, Horror","Area Majority / Influence, Dice Rolling, Pattern Building","Creatures: Monsters, Series: LEGO Games, Toys: LEGO",2009,5.2
Lava Dragon,Add a Brief Description,Cephas Howard,,LEGO,2.0,4.0,15.0,25.0,20.0,7.0,1.16,263,90,Children's,"Children's Game, Fantasy, Racing",Dice Rolling,"Components: Dice With Swappable Faces, Creatures: Dragons, Series: LEGO Games, Toys: LEGO",2009,5.1
Magikus,Add a Brief Description,Cephas Howard,,LEGO,2.0,4.0,10.0,10.0,10.0,6.0,1.0,198,85,Children's,"Children's Game, Fantasy","Dice Rolling, Set Collection","Series: LEGO Games, Toys: LEGO",2009,4.7
Table Quoits,Add a Brief Description,(Uncredited),,Russimco Games,1.0,4.0,,,,,,2,0,Uncategorized,Action / Dexterity,,,1930,4.0
Robo Champ,Add a Brief Description,Cephas Howard,,LEGO,2.0,3.0,10.0,10.0,10.0,6.0,1.08,188,76,Children's,"Children's Game, Collectible Components, Dice",Set Collection,"Series: LEGO Games, Theme: Robots, Toys: LEGO",2009,4.6
Laripino,Add a Brief Description,(Uncredited),,"Retro Range Toys and Games, Russimco Games, Spear's Games",2.0,4.0,,,,4.0,,1,1,Children's,"Action / Dexterity, Children's Game, Math",,Components: Marbles,1920,4.0
